*Forage Model Harvest Output: SPPI1101G0 MARANDU PALISADEGRASS DSSAT Cropping System Model Ver. 4.6.0.035 -forage       JUL 28, 2014; 11:50:42

@RUN FILEX    CR TRNO FHNO YEAR DOY RCWAH RLWAH RSWAH RSRWH RRTWH RLAIH FHWAH FHNAH FHN%H FHC%H FHLGH FHL%H FHAGE IVOMD
   1 SPPI1101 G0    1    1 2011  14  2525  1332   119   390  1296  2.18     0     0  0.00  0.00  0.00   0.0   -99 -99.0
   1 SPPI1101 G0    1    2 2011  42  2852   741   211  1568  1999  1.32  2266    36  1.60  4.23  4.24  88.2   -99 -99.0
   1 SPPI1101 G0    1    3 2011  70  3009   872   213  2088  2374  1.60  1316    20  1.56  4.21  4.31  84.3   -99 -99.0
   1 SPPI1101 G0    1    4 2011  98  3167  1045   212  2650  2516  1.97  1200    19  1.61  4.48  4.45  77.7   -99 -99.0
   1 SPPI1101 G0    1    5 2011 125  3319  1194   212  3072  2604  2.22  1002    17  1.70  4.04  4.36  82.2   -99 -99.0
   1 SPPI1101 G0    1    6 2011 154  3483  1393   208  3413  2620  2.41   838    15  1.89  3.76  4.40  79.8   -99 -99.0
   1 SPPI1101 G0    1    7 2011 181  3635  1563   207  3548  2591  2.60   418     8  2.00  3.39  4.37  81.6   -99 -99.0
   1 SPPI1101 G0    1    8 2011 210  3753  1519   223  3935  2650  2.56   937    20  2.24  3.21  4.00 100.0   -99 -99.0
   1 SPPI1101 G0    1    9 2011 237  3621  1339   228  4267  2707  2.26  1196    25  2.11  3.64  4.20  90.2   -99 -99.0
   1 SPPI1101 G0    1   10 2011 265  3437  1168   226  4672  2799  1.89  1582    30  1.96  4.26  4.32  83.9   -99 -99.0
   1 SPPI1101 G0    1   11 2011 295  3240  1004   223  4935  3054  1.66  1972    32  1.66  4.31  4.36  82.2   -99 -99.0
   1 SPPI1101 G0    1   12 2011 321  3069   859   220  4900  3557  1.39  1749    28  1.61  4.30  4.33  83.3   -99 -99.0
   1 SPPI1101 G0    1   13 2011 349  2885   721   216  4724  4239  1.17  1955    29  1.50  4.40  4.38  80.8   -99 -99.0
   1 SPPI1101 G0    1   14 2012  13  2694   592   210  4516  4502  0.97  2057    30  1.48  4.58  4.43  78.7   -99 -99.0
   1 SPPI1101 G0    1   15 2012  40  2516   478   203  4282  4557  0.80  1617    25  1.60  4.32  4.40  79.9   -99 -99.0
   1 SPPI1101 G0    1   16 2012  68  2678   535   214  4153  4404  0.92  1338    22  1.66  3.83  4.29  85.6   -99 -99.0
   1 SPPI1101 G0    1   17 2012 104  2887   606   228  4293  4095  1.06  1520    27  1.80  3.66  4.36  82.2   -99 -99.0
   1 SPPI1101 G0    1   18 2012 129  3032   667   236  4114  3837  1.16   660    15  2.34  3.03  4.02  99.1   -99 -99.0
   1 SPPI1101 G0    1   19 2012 163  3229   742   248  4094  3634  1.30   734    17  2.37  2.96  4.03  98.7   -99 -99.0
   1 SPPI1101 G0    1   20 2012 180  3287   765   252  3999  3518  1.32   315     7  2.47  2.92  4.00 100.0   -99 -99.0
   1 SPPI1101 G0    1   21 2012 209  3439   839   260  3942  3377  1.40   449    10  2.44  2.89  4.00 100.0   -99 -99.0
   1 SPPI1101 G0    1   22 2012 236  3539   814   272  4120  3308  1.27   829    19  2.38  3.08  4.07  96.7   -99 -99.0
   1 SPPI1101 G0    1   23 2012 265  3586   753   283  4447  3278  1.23  1297    27  2.14  3.47  4.24  88.0   -99 -99.0
   1 SPPI1101 G0    1   24 2012 294  3631   726   290  4693  3306  1.18  1638    36  2.20  3.82  4.30  85.0   -99 -99.0
   1 SPPI1101 G0    1   25 2012 320  3673   697   297  4794  3458  1.20  1944    39  2.02  3.99  4.33  83.7   -99 -99.0
   1 SPPI1101 G0    1   26 2012 348  3717   631   308  4622  4088  1.06  1908    28  1.48  4.25  4.30  85.0   -99 -99.0
   1 SPPI1101 G0    1   27 2013  10  3763   602   316  4309  4261  1.05  1639    26  1.59  4.11  4.33  83.5   -99 -99.0
   1 SPPI1101 G0    1   28 2013  39  3807   532   327  4137  4381  0.96  1478    25  1.71  3.87  4.23  88.5   -99 -99.0
   1 SPPI1101 G0    1   29 2013  66  3437   584   285  4116  4218  1.03  1949    27  1.43  4.32  4.75  62.4   -99 -99.0
   1 SPPI1101 G0    1   30 2013 106  2888   606   228  4134  3764  1.18  2190    30  1.38  3.97  4.90  54.8   -99 -99.0
   2 SPPI1101 G0    2    1 2011  14  2524  1333   119   391  1294  2.18     0     0  0.00  0.00  0.00   0.0   -99 -99.0
   2 SPPI1101 G0    2    2 2011  56  3947  1037   290  2076  2359  1.88  2186    32  1.47  3.65  4.00 100.0   -99 -99.0
   2 SPPI1101 G0    2    3 2011  98  3992  1157   283  2888  2441  2.23  1872    25  1.37  4.58  4.59  70.4   -99 -99.0
   2 SPPI1101 G0    2    4 2011 140  3996  1319   267  3531  2507  2.42  1698    26  1.57  4.14  4.60  70.1   -99 -99.0
   2 SPPI1101 G0    2    5 2011 181  3999  1480   252  3727  2491  2.52   870    15  1.76  3.45  4.57  71.7   -99 -99.0
   2 SPPI1101 G0    2    6 2011 224  4002  1320   268  4208  2595  2.28  1433    29  2.03  3.34  4.15  92.7   -99 -99.0
   2 SPPI1101 G0    2    7 2011 265  3998  1199   279  4797  2745  1.98  1918    36  1.88  4.17  4.32  84.2   -99 -99.0
   2 SPPI1101 G0    2    8 2011 307  3994  1078   291  5196  3282  1.79  2617    39  1.49  4.45  4.39  80.4   -99 -99.0
   2 SPPI1101 G0    2    9 2011 336  3991   997   299  5070  3904  1.63  1820    28  1.58  4.40  4.28  85.8   -99 -99.0
   2 SPPI1101 G0    2   10 2012  13  3986   877   310  4839  4474  1.47  2811    35  1.28  4.43  4.43  78.3   -99 -99.0
   2 SPPI1101 G0    2   11 2012  55  3981   756   322  4637  4546  1.31  2338    30  1.30  4.15  4.43  78.6   -99 -99.0
   2 SPPI1101 G0    2   12 2012 104  3585   860   272  4752  4048  1.53  2810    33  1.21  4.22  4.88  55.9   -99 -99.0
   2 SPPI1101 G0    2   13 2012 143  3270   915   235  4604  3753  1.59  1467    23  1.57  3.47  4.76  62.2   -99 -99.0
   2 SPPI1101 G0    2   14 2012 180  2971   951   202  4537  3564  1.68  1248    20  1.62  3.23  4.75  62.4   -99 -99.0
   2 SPPI1101 G0    2   15 2012 224  2616   968   164  4597  3438  1.58  1511    24  1.64  3.47  4.77  61.7   -99 -99.0
   2 SPPI1101 G0    2   16 2012 265  2908   959   194  5083  3450  1.58  1663    33  2.04  3.65  4.18  90.9   -99 -99.0
   2 SPPI1101 G0    2   17 2012 308  3214   932   228  5475  3666  1.59  2690    46  1.73  4.30  4.35  82.5   -99 -99.0
   2 SPPI1101 G0    2   18 2012 335  3406   885   252  5389  3884  1.48  1904    36  1.90  3.93  4.16  92.2   -99 -99.0
   2 SPPI1101 G0    2   19 2013  10  3704   815   288  5019  4237  1.45  2708    35  1.30  4.16  4.36  82.1   -99 -99.0
   2 SPPI1101 G0    2   20 2013  52  3996   719   327  4819  4182  1.31  2195    33  1.50  3.85  4.27  86.5   -99 -99.0
   2 SPPI1101 G0    2   21 2013 106  3585   788   279  4736  3630  1.54  2804    35  1.25  3.86  4.87  56.3   -99 -99.0
