*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D    TRWU
 1989 345     1  15.80  25.60   6.00  3.751  0.000  3.751  0.989  0.000  0.989  0.000  0.000    3.75    0.99    0.00    0.99    0.00    0.00   0.824   0.103   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.000
 1989 346     2  16.50  24.00   2.80  2.536  0.000  2.536  0.688  0.000  0.688  0.000  0.000    6.29    1.68    0.00    1.68    0.00    0.00   0.565   0.077   0.019   0.012   0.006   0.003   0.003   0.002   0.001   0.000
 1989 347     3  17.10  25.60   2.60  2.686  0.000  2.686  1.937  0.000  0.000  0.000  1.937    8.97    3.61    0.00    1.68    0.00    1.94   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 1989 348     4  15.30  23.40   5.00  2.390  0.000  2.390  1.354  0.000  0.000  0.000  1.354   11.36    4.97    0.00    1.68    0.00    3.29   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 1989 349     5  15.80  26.00   6.40  2.590  0.000  2.590  0.756  0.000  0.388  0.000  0.368   13.95    5.72    0.00    2.06    0.00    3.66   0.315   0.046   0.011   0.007   0.003   0.002   0.002   0.001   0.001   0.000
 1989 350     6  11.50  20.00   9.60  1.796  0.000  1.796  0.535  0.000  0.434  0.000  0.102   15.75    6.26    0.00    2.50    0.00    3.76   0.349   0.053   0.013   0.008   0.004   0.002   0.002   0.002   0.001   0.000
 1989 351     7   6.60  16.00  12.60  1.005  0.000  1.005  0.305  0.000  0.277  0.000  0.028   16.75    6.56    0.00    2.77    0.00    3.79   0.221   0.035   0.009   0.005   0.003   0.001   0.001   0.001   0.001   0.000
 1989 352     8   9.90  22.40  14.80  1.673  0.000  1.673  0.516  0.000  0.508  0.000  0.008   18.43    7.08    0.00    3.28    0.00    3.80   0.403   0.066   0.016   0.010   0.005   0.003   0.002   0.002   0.001   0.000
 1989 353     9  12.30  23.60  11.80  2.060  0.000  2.060  0.645  0.000  0.642  0.000  0.002   20.49    7.72    0.00    3.93    0.00    3.80   0.503   0.087   0.022   0.014   0.006   0.004   0.003   0.003   0.002   0.000
 1989 354    10  13.20  24.00  10.40  2.203  0.021  2.181  0.712  0.021  0.691  0.000  0.001   22.69    8.44    0.02    4.62    0.00    3.80   0.532   0.099   0.025   0.015   0.007   0.004   0.003   0.003   0.002   0.002
 1989 355    11  13.90  24.00   9.00  2.295  0.027  2.268  0.692  0.036  0.656  0.000  0.000   24.99    9.13    0.06    5.27    0.00    3.80   0.495   0.100   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.004
 1989 356    12  14.00  25.60  10.20  2.385  0.034  2.350  0.659  0.048  0.611  0.000  0.000   27.37    9.79    0.10    5.88    0.00    3.80   0.450   0.099   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.005
 1989 357    13  13.90  25.00   9.80  2.346  0.041  2.303  0.633  0.064  0.569  0.000  0.000   29.72   10.42    0.17    6.45    0.00    3.80   0.409   0.099   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.006
 1989 358    14  14.10  27.00  11.40  2.474  0.052  2.420  0.605  0.075  0.530  0.000  0.000   32.19   11.03    0.24    6.98    0.00    3.80   0.371   0.098   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.008
 1989 359    15  14.30  25.60   9.60  2.434  0.062  2.370  0.595  0.100  0.495  0.000  0.000   34.62   11.62    0.34    7.48    0.00    3.80   0.337   0.097   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.010
 1989 360    16  13.70  26.60  12.00  2.411  0.074  2.334  0.581  0.119  0.463  0.000  0.000   37.04   12.20    0.46    7.94    0.00    3.80   0.306   0.096   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.012
 1989 361    17  10.80  21.40  12.20  1.787  0.066  1.719  0.568  0.135  0.433  0.000  0.000   38.82   12.77    0.60    8.37    0.00    3.80   0.278   0.095   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.013
 1989 362    18  11.90  24.60  13.60  2.077  0.090  1.985  0.487  0.080  0.407  0.000  0.000   40.90   13.26    0.68    8.78    0.00    3.80   0.252   0.094   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.008
 1989 363    19  10.70  22.60  13.60  1.826  0.093  1.730  0.515  0.131  0.383  0.000  0.000   42.73   13.77    0.81    9.16    0.00    3.80   0.230   0.093   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.013
 1989 364    20   9.90  20.60  13.00  1.642  0.097  1.542  0.476  0.114  0.362  0.000  0.000   44.37   14.25    0.92    9.52    0.00    3.80   0.210   0.092   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.011
 1989 365    21  13.60  21.20   6.80  2.158  0.148  2.005  0.443  0.101  0.342  0.000  0.000   46.53   14.69    1.02    9.87    0.00    3.80   0.191   0.091   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.010
 1990 001    22  15.40  24.40   7.80  2.579  0.210  2.362  0.559  0.235  0.324  0.000  0.000   49.10   15.25    1.26   10.19    0.00    3.80   0.174   0.089   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.023
 1990 002    23  14.10  22.60   8.60  2.331  0.227  2.097  0.696  0.389  0.307  0.000  0.000   51.44   15.95    1.65   10.50    0.00    3.80   0.159   0.088   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.039
 1990 003    24  13.50  22.40   9.60  2.255  0.261  1.986  0.653  0.362  0.290  0.000  0.000   53.69   16.60    2.01   10.79    0.00    3.80   0.145   0.085   0.025   0.016   0.007   0.004   0.003   0.003   0.002   0.036
 1990 004    25  10.80  16.40   8.20  1.649  0.224  1.419  0.664  0.389  0.275  0.000  0.000   55.34   17.26    2.40   11.06    0.00    3.80   0.132   0.083   0.024   0.016   0.007   0.004   0.003   0.003   0.002   0.039
 1990 005    26  14.80  20.40   5.00  2.330  0.362  1.958  0.459  0.198  0.261  0.000  0.000   57.67   17.72    2.60   11.32    0.00    3.80   0.120   0.081   0.024   0.016   0.007   0.004   0.003   0.003   0.002   0.020
 1990 006    27  15.50  20.00   3.20  2.400  0.437  1.951  0.806  0.557  0.249  0.000  0.000   60.07   18.53    3.15   11.57    0.00    3.80   0.110   0.080   0.024   0.016   0.007   0.004   0.003   0.003   0.002   0.056
 1990 007    28  16.40  24.60   5.80  2.787  0.596  2.177  0.926  0.689  0.236  0.000  0.000   62.86   19.45    3.84   11.81    0.00    3.80   0.100   0.077   0.024   0.016   0.007   0.004   0.003   0.003   0.002   0.069
 1990 008    29  17.80  26.00   3.80  3.052  0.764  2.270  1.386  1.162  0.224  0.000  0.000   65.91   20.84    5.00   12.03    0.00    3.80   0.091   0.073   0.024   0.016   0.007   0.004   0.003   0.003   0.002   0.116
 1990 009    30  17.70  27.00   5.00  3.134  0.917  2.198  1.891  1.680  0.211  0.000  0.000   69.04   22.73    6.68   12.25    0.00    3.80   0.083   0.069   0.024   0.015   0.007   0.004   0.003   0.003   0.002   0.168
 1990 010    31  17.80  29.20   7.00  3.324  1.123  2.181  2.226  2.030  0.197  0.000  0.000   72.37   24.96    8.71   12.44    0.00    3.80   0.076   0.063   0.023   0.015   0.007   0.004   0.003   0.003   0.002   0.203
 1990 011    32  16.50  27.60   8.40  3.086  1.186  1.881  2.712  2.530  0.182  0.000  0.000   75.45   27.67   11.24   12.62    0.00    3.80   0.069   0.056   0.022   0.015   0.007   0.004   0.003   0.003   0.002   0.253
 1990 012    33  15.10  27.00  11.00  2.891  1.245  1.628  2.561  2.393  0.168  0.000  0.000   78.34   30.23   13.64   12.79    0.00    3.80   0.063   0.049   0.021   0.015   0.007   0.004   0.003   0.003   0.002   0.239
 1990 013    34  15.80  27.00   9.60  3.019  1.439  1.560  2.733  2.198  0.535  0.000  0.000   81.36   32.96   15.84   13.33    0.00    3.80   0.438   0.058   0.015   0.010   0.005   0.003   0.002   0.002   0.001   0.220
 1990 014    35  15.50  25.00   8.20  2.899  1.503  1.376  3.140  2.667  0.472  0.000  0.000   84.26   36.10   18.50   13.80    0.00    3.80   0.115   0.078   0.041   0.047   0.039   0.032   0.036   0.045   0.038   0.267
 1990 015    36  16.30  24.60   6.00  2.993  1.659  1.313  3.075  2.617  0.458  0.000  0.000   87.25   39.18   21.12   14.26    0.00    3.80   0.102   0.073   0.043   0.048   0.039   0.033   0.037   0.045   0.038   0.262
 1990 016    37  13.60  23.00  10.00  2.547  1.493  1.037  3.406  3.037  0.369  0.000  0.000   89.80   42.58   24.16   14.63    0.00    3.80   0.309   0.038   0.009   0.006   0.003   0.002   0.001   0.001   0.001   0.304
 1990 017    38  15.80  21.20   3.80  2.751  1.698  1.032  2.483  2.108  0.375  0.000  0.000   92.55   45.07   26.26   15.00    0.00    3.80   0.310   0.040   0.010   0.006   0.003   0.002   0.002   0.001   0.001   0.211
 1990 018    39  14.50  20.00   5.20  2.526  1.617  0.890  2.999  2.670  0.329  0.000  0.000   95.08   48.07   28.94   15.33    0.00    3.80   0.269   0.036   0.010   0.006   0.003   0.002   0.001   0.001   0.001   0.267
 1990 019    40  14.00  17.60   3.80  2.334  1.545  0.771  2.508  2.219  0.289  0.000  0.000   97.41   50.57   31.15   15.62    0.00    3.80   0.233   0.033   0.009   0.006   0.003   0.002   0.001   0.001   0.001   0.222
 1990 020    41  15.50  20.00   3.20  2.668  1.814  0.834  2.134  1.818  0.316  0.000  0.000  100.08   52.71   32.97   15.94    0.00    3.80   0.250   0.038   0.011   0.007   0.004   0.002   0.002   0.002   0.001   0.182
 1990 021    42  17.30  24.60   3.60  3.193  2.232  0.939  3.011  2.652  0.358  0.000  0.000  103.27   55.72   35.62   16.29    0.00    3.80   0.279   0.046   0.013   0.009   0.004   0.003   0.002   0.002   0.001   0.265
 1990 022    43  13.80  23.80  10.40  2.682  1.934  0.732  4.606  4.324  0.281  0.000  0.000  105.96   60.32   39.95   16.58    0.00    3.80   0.213   0.038   0.011   0.008   0.004   0.002   0.002   0.002   0.001   0.432
