*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 1989 344     0   0.000    0.00       0    0.00
 1989 345     1   0.865    1.70   20000    0.00
 1989 346     2   0.859    1.65   19625    3.80
 1989 347     3   0.855    1.61   19303    1.86
 1989 348     4   0.850    1.57   19001    0.51
 1989 349     5   0.846    1.54   18721    0.14
 1989 350     6   0.842    1.51   18469    0.04
 1989 351     7   0.839    1.48   18245    0.01
 1989 352     8   0.835    1.45   18046    0.00
 1989 353     9   0.833    1.43   17872    0.00
 1989 354    10   0.830    1.41   17717    0.00
 1989 355    11   0.828    1.40   17584    0.00
 1989 356    12   0.826    1.38   17466    0.00
 1989 357    13   0.824    1.37   17356    0.00
 1989 358    14   0.822    1.36   17258    0.00
 1989 359    15   0.820    1.34   17171    0.00
 1989 360    16   0.819    1.34   17095    0.00
 1989 361    17   0.818    1.33   17030    0.00
 1989 362    18   0.817    1.32   16977    0.00
 1989 363    19   0.816    1.32   16934    0.00
 1989 364    20   0.815    1.31   16900    0.00
 1989 365    21   0.815    1.31   16876    0.00
 1990 001    22   0.815    1.31   16859    0.00
 1990 002    23   0.815    1.31   16848    0.00
 1990 003    24   0.814    1.30   16840    0.00
 1990 004    25   0.814    1.30   16832    0.00
 1990 005    26   0.814    1.30   16824    0.00
 1990 006    27   0.814    1.30   16817    0.00
 1990 007    28   0.814    1.30   16810    0.00
 1990 008    29   0.814    1.30   16803    0.00
 1990 009    30   0.814    1.30   16796    0.00
 1990 010    31   0.813    1.30   16788    0.00
 1990 011    32   0.813    1.30   16780    0.00
 1990 012    33   0.813    1.30   16770    0.00
 1990 013    34   0.813    1.29   16760    0.00
 1990 014    35   0.809    1.27   16534    0.00
 1990 015    36   0.803    1.23   16244    0.00
 1990 016    37   0.797    1.20   15956    0.00
 1990 017    38   0.792    1.17   15720    0.00
 1990 018    39   0.788    1.15   15529    0.00
 1990 019    40   0.785    1.13   15381    0.00
 1990 020    41   0.783    1.12   15267    0.00
 1990 021    42   0.781    1.10   15179    0.00
 1990 022    43   0.779    1.10   15110    0.00
 1990 023    44   0.778    1.09   15056    0.00
 1990 024    45   0.777    1.09   15011    0.00
 1990 025    46   0.776    1.08   14968    0.00
 1990 026    47   0.775    1.08   14929    0.00
 1990 027    48   0.774    1.07   14892    0.00
 1990 028    49   0.774    1.07   14858    0.00
 1990 029    50   0.773    1.06   14827    0.00
 1990 030    51   0.772    1.06   14800    0.00
 1990 031    52   0.772    1.06   14777    0.00
 1990 032    53   0.771    1.06   14757    0.00
 1990 033    54   0.771    1.05   14740    0.00
 1990 034    55   0.771    1.05   14727    0.00
 1990 035    56   0.770    1.05   14716    0.00
 1990 036    57   0.770    1.05   14708    0.00
 1990 037    58   0.770    1.05   14701    0.00
 1990 038    59   0.767    1.03   14574    0.00
 1990 039    60   0.763    1.01   14383    0.00
 1990 040    61   0.758    0.99   14198    0.00
 1990 041    62   0.754    0.97   14034    0.00
 1990 042    63   0.751    0.96   13896    0.00
 1990 043    64   0.748    0.95   13801    0.00
 1990 044    65   0.747    0.94   13741    0.00
 1990 045    66   0.746    0.94   13698    0.00
 1990 046    67   0.745    0.93   13659    0.00
 1990 047    68   0.744    0.93   13623    0.00
 1990 048    69   0.743    0.92   13591    0.00
 1990 049    70   0.742    0.92   13563    0.00
 1990 050    71   0.742    0.92   13538    0.00
 1990 051    72   0.741    0.91   13513    0.00
 1990 052    73   0.740    0.91   13488    0.00
 1990 053    74   0.740    0.91   13463    0.00
 1990 054    75   0.739    0.91   13439    0.00
 1990 055    76   0.739    0.90   13414    0.00
 1990 056    77   0.738    0.90   13390    0.00
 1990 057    78   0.737    0.90   13366    0.00
 1990 058    79   0.737    0.90   13343    0.00
 1990 059    80   0.736    0.89   13321    0.00
 1990 060    81   0.736    0.89   13301    0.00
 1990 061    82   0.735    0.89   13284    0.00
