*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150    Soil     0-5    5-15   15-25   25-40  40-150    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 1989 344     0    2076   0.074     941   0.029    6119       0    6119     550    1100     858     514    3097       0     147      34      68      43       0       2    1645     378     758     480       4      24    4319     137     274     333     508    3067    0.00    7.52    0.64    1.10    1.10    1.31    3.36    0.00    5.88    0.50    0.86    0.86    1.03    2.63    0.00    1.64    0.14    0.24    0.24    0.29    0.73       0
 1989 345     1    2074   0.074     941   0.029    6276     160    6116     549    1099     857     514    3097       0     146      33      67      42       0       2    1644     378     757     480       4      24    4319     137     274     333     508    3067  160.00    7.21    0.61    1.06    1.05    1.26    3.23  145.93    5.58    0.48    0.82    0.82    0.98    2.50   14.07    1.63    0.14    0.24    0.24    0.28    0.73     160
 1989 346     2    2079   0.074     940   0.028    6276     162    6114     549    1098     856     514    3097       7     144      33      66      42       1       3    1644     378     757     480       4      24    4319     137     274     333     508    3067  154.65    6.93    0.59    1.01    1.01    1.21    3.11  140.72    5.31    0.45    0.78    0.78    0.93    2.38   13.93    1.62    0.14    0.24    0.24    0.28    0.73     160
 1989 347     3    2084   0.074     940   0.028    6275     163    6112     548    1097     856     514    3097      13     143      33      65      41       1       3    1644     378     757     480       4      24    4319     137     274     333     508    3067  150.11    6.68    0.57    0.98    0.97    1.17    2.99  136.29    5.07    0.44    0.74    0.74    0.88    2.27   13.82    1.62    0.14    0.24    0.24    0.28    0.72     160
 1989 348     4    2087   0.074     940   0.028    6274     164    6110     548    1096     855     514    3097      18     142      33      64      41       1       3    1643     378     757     480       4      24    4319     137     274     333     508    3067  145.88    6.45    0.56    0.94    0.94    1.12    2.89  132.17    4.84    0.42    0.71    0.70    0.84    2.17   13.71    1.61    0.14    0.24    0.23    0.28    0.72     160
 1989 349     5    2091   0.075     940   0.028    6274     165    6109     548    1095     854     514    3098      23     141      33      63      40       1       3    1643     378     757     480       4      24    4319     137     274     333     508    3067  141.99    6.24    0.54    0.91    0.91    1.09    2.79  128.38    4.64    0.41    0.68    0.67    0.81    2.07   13.61    1.60    0.14    0.23    0.23    0.28    0.72     160
 1989 350     6    2094   0.075     940   0.028    6273     166    6107     548    1094     854     514    3098      27     140      32      63      40       1       4    1642     378     756     480       4      24    4319     137     274     333     508    3067  138.52    6.04    0.53    0.88    0.88    1.05    2.70  125.01    4.45    0.39    0.65    0.65    0.77    1.99   13.51    1.60    0.14    0.23    0.23    0.28    0.71     160
 1989 351     7    2096   0.075     939   0.028    6272     166    6105     548    1093     853     514    3098      31     139      32      62      40       1       4    1642     378     756     479       4      24    4319     137     274     333     508    3067  135.47    5.86    0.52    0.86    0.85    1.02    2.62  122.04    4.27    0.38    0.62    0.62    0.74    1.91   13.43    1.59    0.14    0.23    0.23    0.28    0.71     160
 1989 352     8    2098   0.075     939   0.028    6271     167    6104     547    1092     853     514    3098      34     138      32      62      39       1       4    1642     378     756     479       4      24    4319     137     274     333     508    3067  132.78    5.70    0.51    0.83    0.83    0.99    2.54  119.42    4.11    0.37    0.60    0.60    0.71    1.83   13.35    1.58    0.14    0.23    0.23    0.28    0.71     160
 1989 353     9    2100   0.075     939   0.028    6270     168    6103     547    1091     852     514    3098      37     137      32      61      39       1       4    1641     378     756     479       4      24    4319     137     274     333     508    3067  130.42    5.55    0.50    0.81    0.81    0.96    2.47  117.14    3.97    0.36    0.58    0.58    0.69    1.76   13.28    1.58    0.13    0.23    0.23    0.28    0.71     160
 1989 354    10    2101   0.075     939   0.028    6269     168    6101     547    1091     852     514    3098      40     136      32      60      38       1       4    1641     378     756     479       4      24    4319     137     274     333     508    3067  128.35    5.40    0.49    0.79    0.78    0.94    2.40  115.13    3.83    0.35    0.56    0.55    0.66    1.70   13.22    1.57    0.13    0.23    0.23    0.27    0.70     160
 1989 355    11    2102   0.075     939   0.028    6268     168    6100     547    1090     851     514    3098      42     135      32      60      38       1       4    1641     378     756     479       4      24    4319     137     274     333     508    3067  126.58    5.27    0.48    0.77    0.76    0.91    2.34  113.41    3.70    0.35    0.54    0.54    0.64    1.64   13.17    1.57    0.13    0.23    0.23    0.27    0.70     160
 1989 356    12    2103   0.075     938   0.028    6267     168    6099     547    1089     851     514    3098      43     134      32      59      38       1       4    1641     378     755     479       4      24    4319     137     274     333     508    3067  125.01    5.13    0.48    0.75    0.74    0.89    2.27  111.89    3.57    0.34    0.52    0.52    0.62    1.58   13.12    1.56    0.13    0.23    0.23    0.27    0.70     160
 1989 357    13    2104   0.075     938   0.028    6266     169    6097     547    1088     850     514    3098      45     133      32      59      37       1       4    1640     378     755     479       4      24    4319     137     274     333     508    3067  123.56    5.00    0.47    0.73    0.72    0.86    2.21  110.48    3.44    0.34    0.50    0.50    0.59    1.51   13.08    1.56    0.13    0.23    0.23    0.27    0.70     160
 1989 358    14    2104   0.075     938   0.028    6265     169    6096     547    1088     850     514    3098      47     133      32      58      37       1       5    1640     378     755     479       4      24    4319     137     274     333     508    3067  122.27    4.86    0.46    0.71    0.70    0.84    2.15  109.22    3.31    0.33    0.48    0.48    0.57    1.45   13.04    1.55    0.13    0.23    0.23    0.27    0.69     160
 1989 359    15    2104   0.075     938   0.028    6264     169    6095     547    1087     849     514    3098      48     132      31      58      37       1       5    1640     378     755     479       4      24    4319     137     274     333     508    3067  121.12    4.73    0.46    0.69    0.68    0.81    2.08  108.12    3.18    0.33    0.46    0.46    0.54    1.39   13.01    1.55    0.13    0.23    0.23    0.27    0.69     160
 1989 360    16    2104   0.075     938   0.028    6263     169    6093     547    1086     849     514    3098      49     131      31      57      36       1       5    1639     378     755     478       4      24    4319     137     274     333     508    3067  120.14    4.60    0.46    0.67    0.66    0.79    2.02  107.16    3.06    0.32    0.45    0.44    0.52    1.33   12.98    1.54    0.13    0.23    0.22    0.27    0.69     160
 1989 361    17    2104   0.075     937   0.028    6261     169    6092     547    1085     848     514    3098      50     130      31      56      36       1       5    1639     378     754     478       4      24    4319     137     274     333     508    3067  119.29    4.47    0.45    0.65    0.64    0.76    1.96  106.34    2.94    0.32    0.43    0.42    0.50    1.27   12.95    1.53    0.13    0.22    0.22    0.27    0.69     160
 1989 362    18    2104   0.075     937   0.028    6260     169    6091     546    1084     848     514    3098      51     129      31      56      35       1       5    1639     378     754     478       4      24    4318     137     274     333     508    3066  118.60    4.35    0.45    0.64    0.62    0.74    1.90  105.67    2.82    0.32    0.41    0.40    0.48    1.22   12.93    1.53    0.13    0.22    0.22    0.27    0.68     160
 1989 363    19    2104   0.075     937   0.028    6259     169    6089     546    1084     847     514    3098      51     128      31      55      35       2       5    1638     378     754     478       4      24    4318     137     274     333     508    3066  118.05    4.24    0.45    0.62    0.60    0.72    1.84  105.14    2.71    0.32    0.40    0.38    0.45    1.16   12.91    1.52    0.13    0.22    0.22    0.27    0.68     160
 1989 364    20    2103   0.075     937   0.028    6258     169    6088     546    1083     846     514    3098      52     127      31      55      35       2       5    1638     378     754     478       4      24    4318     137     274     333     508    3066  117.62    4.13    0.45    0.60    0.59    0.70    1.79  104.72    2.61    0.31    0.38    0.37    0.44    1.11   12.90    1.52    0.13    0.22    0.22    0.26    0.68     160
 1989 365    21    2103   0.075     936   0.028    6256     169    6087     546    1082     846     514    3098      52     127      31      54      34       2       5    1638     378     754     478       4      24    4318     137     274     333     508    3066  117.31    4.03    0.45    0.59    0.57    0.68    1.74  104.42    2.52    0.31    0.37    0.35    0.42    1.07   12.89    1.51    0.13    0.22    0.22    0.26    0.67     160
 1990 001    22    2102   0.075     936   0.028    6255     169    6086     546    1082     846     514    3098      52     126      31      54      34       2       5    1638     378     754     478       4      24    4318     137     274     333     508    3066  117.09    3.95    0.45    0.58    0.56    0.66    1.70  104.21    2.44    0.31    0.36    0.34    0.40    1.03   12.88    1.51    0.13    0.22    0.22    0.26    0.67     160
 1990 002    23    2101   0.075     936   0.028    6254     169    6085     546    1081     845     514    3098      53     125      31      53      34       2       5    1637     378     753     478       4      24    4318     137     274     333     508    3066  116.95    3.86    0.44    0.57    0.55    0.65    1.66  104.08    2.36    0.31    0.35    0.33    0.39    0.99   12.88    1.50    0.13    0.22    0.22    0.26    0.67     160
 1990 003    24    2101   0.075     936   0.028    6253     169    6084     546    1081     845     514    3098      53     125      31      53      33       2       5    1637     378     753     477       4      24    4318     137     274     333     508    3066  116.85    3.78    0.44    0.56    0.53    0.63    1.62  103.98    2.29    0.31    0.34    0.32    0.37    0.95   12.87    1.50    0.13    0.22    0.22    0.26    0.67     160
 1990 004    25    2100   0.075     936   0.028    6252     170    6083     546    1080     844     514    3098      53     124      31      53      33       2       5    1637     378     753     477       4      24    4318     137     274     333     508    3066  116.75    3.71    0.44    0.55    0.52    0.62    1.58  103.88    2.22    0.31    0.33    0.30    0.36    0.91   12.87    1.49    0.13    0.22    0.22    0.26    0.66     160
 1990 005    26    2100   0.075     936   0.028    6252     170    6082     546    1080     844     514    3098      53     123      31      52      33       2       5    1637     378     753     477       4      24    4318     137     274     333     508    3066  116.65    3.64    0.44    0.54    0.51    0.60    1.54  103.78    2.15    0.31    0.32    0.29    0.35    0.88   12.87    1.49    0.13    0.22    0.22    0.26    0.66     160
 1990 006    27    2099   0.075     935   0.028    6251     170    6081     546    1079     844     514    3098      53     123      31      52      33       2       5    1636     378     753     477       4      24    4318     137     274     333     508    3066  116.56    3.57    0.44    0.53    0.50    0.59    1.51  103.69    2.09    0.31    0.31    0.28    0.33    0.85   12.87    1.48    0.13    0.22    0.22    0.26    0.66     160
 1990 007    28    2099   0.075     935   0.028    6250     170    6080     546    1079     843     514    3098      53     122      31      52      32       2       5    1636     378     753     477       4      24    4318     137     274     333     508    3066  116.46    3.51    0.44    0.52    0.49    0.58    1.48  103.60    2.04    0.31    0.31    0.28    0.32    0.82   12.86    1.48    0.13    0.22    0.21    0.26    0.66     160
 1990 008    29    2098   0.075     935   0.028    6249     170    6080     546    1079     843     514    3097      53     122      31      52      32       2       5    1636     378     753     477       4      24    4318     137     274     333     508    3066  116.37    3.46    0.44    0.52    0.48    0.57    1.45  103.51    1.98    0.31    0.30    0.27    0.31    0.79   12.86    1.48    0.13    0.22    0.21    0.26    0.66     160
 1990 009    30    2098   0.075     935   0.028    6249     170    6079     546    1078     843     514    3097      53     122      31      51      32       2       5    1636     378     753     477       4      24    4318     137     274     333     508    3066  116.28    3.40    0.44    0.51    0.47    0.56    1.42  103.42    1.93    0.31    0.30    0.26    0.30    0.76   12.86    1.47    0.13    0.22    0.21    0.26    0.65     160
 1990 010    31    2098   0.075     935   0.028    6248     170    6078     546    1078     842     514    3097      53     121      31      51      32       2       5    1636     378     753     477       4      24    4318     137     274     333     508    3066  116.18    3.34    0.44    0.51    0.46    0.55    1.39  103.33    1.88    0.31    0.29    0.25    0.29    0.74   12.85    1.47    0.13    0.22    0.21    0.25    0.65     160
 1990 011    32    2097   0.075     935   0.028    6247     170    6078     546    1078     842     514    3097      54     121      31      51      31       2       5    1635     378     752     477       4      24    4318     137     274     333     508    3066  116.07    3.29    0.44    0.50    0.45    0.53    1.35  103.22    1.82    0.31    0.29    0.24    0.28    0.71   12.85    1.46    0.13    0.22    0.21    0.25    0.65     160
 1990 012    33    2097   0.075     934   0.028    6247     170    6077     546    1077     841     514    3097      54     120      31      51      31       2       5    1635     378     752     476       4      24    4318     137     274     333     508    3066  115.94    3.23    0.44    0.50    0.45    0.52    1.32  103.10    1.77    0.31    0.28    0.23    0.27    0.68   12.85    1.46    0.13    0.22    0.21    0.25    0.65     160
 1990 013    34    2097   0.075     934   0.028    6246     170    6076     546    1077     841     514    3097      54     120      31      51      31       2       5    1635     378     752     476       4      24    4318     137     274     333     508    3066  115.81    3.17    0.44    0.50    0.44    0.51    1.29  102.97    1.72    0.31    0.28    0.23    0.26    0.64   12.84    1.45    0.13    0.22    0.21    0.25    0.64     160
 1990 014    35    2100   0.075     934   0.028    6246     171    6075     546    1077     841     514    3097      58     119      31      50      31       2       5    1635     378     752     476       4      24    4318     137     274     333     508    3066  112.65    3.09    0.43    0.48    0.43    0.50    1.25   99.91    1.64    0.30    0.27    0.22    0.25    0.61   12.74    1.45    0.13    0.21    0.21    0.25    0.64     160
 1990 015    36    2103   0.075     934   0.028    6245     171    6073     546    1076     840     514    3097      62     118      30      50      30       2       5    1634     378     752     476       4      24    4318     137     274     333     508    3066  108.86    3.01    0.41    0.47    0.42    0.48    1.22   96.24    1.57    0.28    0.26    0.21    0.23    0.58   12.62    1.44    0.13    0.21    0.21    0.25    0.64     160
 1990 016    37    2106   0.075     934   0.028    6244     172    6072     545    1076     840     514    3097      66     117      30      50      30       2       5    1634     378     752     476       4      24    4318     137     274     333     508    3066  105.19    2.93    0.40    0.46    0.41    0.47    1.19   92.69    1.50    0.27    0.24    0.20    0.22    0.56   12.50    1.43    0.13    0.21    0.21    0.25    0.63     160
 1990 017    38    2108   0.075     933   0.028    6242     172    6071     545    1075     840     514    3097      69     116      30      49      30       2       5    1634     378     751     476       4      24    4318     137     274     333     508    3066  102.27    2.86    0.39    0.45    0.40    0.46    1.16   89.88    1.43    0.26    0.24    0.19    0.22    0.53   12.40    1.43    0.13    0.21    0.21    0.25    0.63     160
 1990 018    39    2110   0.075     933   0.028    6241     172    6070     545    1075     839     514    3097      72     116      30      49      30       2       5    1633     378     751     476       4      24    4318     137     274     333     508    3066   99.94    2.80    0.38    0.44    0.39    0.45    1.14   87.63    1.38    0.25    0.23    0.18    0.21    0.51   12.31    1.42    0.13    0.21    0.21    0.25    0.63     160
 1990 019    40    2111   0.075     933   0.028    6240     172    6069     544    1074     839     514    3097      73     115      29      49      30       2       5    1633     378     751     476       4      24    4318     137     274     333     508    3066   98.16    2.75    0.37    0.43    0.38    0.45    1.12   85.91    1.34    0.25    0.22    0.18    0.20    0.49   12.25    1.42    0.13    0.21    0.21    0.25    0.63     160
 1990 020    41    2111   0.075     933   0.028    6240     171    6068     544    1074     839     514    3097      75     115      29      49      30       2       5    1633     378     751     475       4      24    4318     137     274     333     508    3066   96.81    2.71    0.37    0.43    0.38    0.44    1.10   84.61    1.30    0.24    0.22    0.17    0.19    0.47   12.20    1.41    0.13    0.21    0.21    0.24    0.62     160
 1990 021    42    2112   0.075     933   0.028    6239     171    6068     544    1074     839     514    3097      76     114      29      49      29       2       5    1633     378     751     475       4      24    4318     137     274     333     508    3066   95.75    2.68    0.37    0.42    0.37    0.43    1.08   83.59    1.26    0.24    0.21    0.17    0.19    0.46   12.16    1.41    0.13    0.21    0.21    0.24    0.62     160
 1990 022    43    2112   0.075     933   0.028    6238     171    6067     544    1074     838     514    3097      76     114      29      49      29       2       5    1633     378     751     475       4      24    4318     137     274     333     508    3066   94.93    2.64    0.36    0.42    0.37    0.43    1.06   82.80    1.23    0.23    0.21    0.17    0.18    0.44   12.13    1.41    0.13    0.21    0.20    0.24    0.62     160
 1990 023    44    2113   0.075     933   0.028    6238     171    6067     544    1073     838     514    3097      77     114      29      48      29       2       5    1633     378     751     475       4      24    4318     137     274     333     508    3066   94.31    2.61    0.36    0.42    0.37    0.42    1.05   82.20    1.21    0.23    0.21    0.16    0.18    0.43   12.11    1.40    0.13    0.21    0.20    0.24    0.62     160
 1990 024    45    2113   0.075     933   0.028    6237     171    6066     544    1073     838     514    3097      77     113      29      48      29       2       5    1632     378     751     475       4      24    4318     137     274     333     508    3066   93.76    2.58    0.36    0.41    0.36    0.42    1.03   81.67    1.18    0.23    0.20    0.16    0.17    0.41   12.09    1.40    0.13    0.21    0.20    0.24    0.62     160
 1990 025    46    2113   0.075     933   0.028    6237     171    6066     544    1073     838     514    3097      78     113      29      48      29       2       5    1632     378     751     475       4      24    4318     137     274     333     508    3066   93.25    2.55    0.36    0.41    0.36    0.41    1.01   81.18    1.15    0.23    0.20    0.16    0.17    0.40   12.07    1.40    0.13    0.21    0.20    0.24    0.61     160
 1990 026    47    2113   0.075     933   0.028    6237     171    6065     544    1073     838     514    3096      78     113      29      48      29       2       5    1632     378     751     475       4      24    4318     137     274     333     508    3066   92.78    2.52    0.36    0.41    0.36    0.40    0.99   80.72    1.13    0.23    0.20    0.16    0.16    0.38   12.05    1.39    0.13    0.21    0.20    0.24    0.61     160
 1990 027    48    2113   0.075     932   0.028    6236     171    6065     544    1073     838     514    3096      79     113      29      48      29       2       5    1632     378     750     475       4      24    4318     137     274     333     508    3066   92.33    2.49    0.35    0.40    0.36    0.40    0.97   80.30    1.10    0.23    0.20    0.15    0.16    0.37   12.03    1.39    0.13    0.21    0.20    0.24    0.61     160
