*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                           NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150     0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1989 344     0     0     0     0.0  106.5   46.1   60.4    2.50    2.40    2.20    2.20    2.00    1.70    1.70    1.70    1.70    3.30    3.20    3.00    3.00    2.60    2.20    2.20    2.20    2.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1989 345     1   150     1     0.0  180.2   51.6  128.6    6.33    3.03    2.60    2.37    2.15    1.81    1.76    1.73    1.73  107.49    3.51    3.07    2.80    2.44    2.08    2.13    2.17    2.17    3.17    5.56    0.00    0.71    0.00    2.47    0.00
 1989 346     2   150     1     0.0  217.5  134.6   82.9  126.77    3.69    2.99    2.53    2.28    1.90    1.81    1.75    1.75   40.62    3.72    3.13    2.62    2.29    1.98    2.07    2.14    2.15    9.04   88.57    0.00    6.08    0.00    2.96    0.00
 1989 347     3   150     1     0.0  237.4  166.2   71.2  170.01    4.35    3.37    2.67    2.40    1.99    1.87    1.77    1.77   24.81    3.87    3.17    2.46    2.16    1.88    2.01    2.11    2.13   14.32  120.09    0.00   10.71    0.00    3.61    0.00
 1989 348     4   150     1     0.0  248.3  185.6   62.7  195.20    5.03    3.74    2.80    2.51    2.07    1.91    1.80    1.80   13.67    3.97    3.20    2.32    2.04    1.79    1.96    2.09    2.10   19.36  139.52    0.00   15.05    0.00    4.31    0.00
 1989 349     5   150     1     0.0  254.5  196.8   57.7  208.27    5.68    4.09    2.91    2.60    2.15    1.96    1.82    1.82    7.74    4.05    3.22    2.19    1.93    1.71    1.91    2.07    2.08   24.12  150.72    0.00   19.06    0.00    5.06    0.00
 1989 350     6   150     1     0.0  258.3  203.9   54.4  215.40    6.30    4.43    3.01    2.69    2.21    2.00    1.84    1.84    4.31    4.11    3.24    2.07    1.83    1.64    1.87    2.04    2.06   28.54  157.83    0.00   22.67    0.00    5.87    0.00
 1989 351     7   150     1     0.0  260.9  208.7   52.2  219.21    6.90    4.75    3.11    2.77    2.27    2.04    1.86    1.86    2.37    4.14    3.25    1.97    1.74    1.57    1.82    2.02    2.04   32.62  162.61    0.00   25.89    0.00    6.73    0.00
 1989 352     8   150     1     0.0  262.7  212.1   50.6  221.18    7.47    5.05    3.19    2.84    2.33    2.08    1.88    1.88    1.29    4.16    3.26    1.88    1.66    1.51    1.78    2.00    2.02   36.35  166.00    0.00   28.75    0.00    7.60    0.00
 1989 353     9   150     1     0.0  264.2  214.8   49.4  222.26    8.00    5.35    3.26    2.91    2.38    2.11    1.89    1.89    0.65    4.18    3.27    1.79    1.59    1.46    1.75    1.99    2.01   39.78  168.68    0.00   31.29    0.00    8.48    0.00
 1989 354    10   150     1     0.0  265.3  217.0   48.3  222.79    8.48    5.63    3.33    2.97    2.43    2.15    1.91    1.91    0.27    4.16    3.27    1.71    1.52    1.40    1.71    1.97    1.99   42.98  170.99    0.00   33.57    0.00    9.41    0.13
 1989 355    11   150     1     0.0  266.1  218.8   47.3  223.05    8.87    5.91    3.40    3.03    2.48    2.18    1.93    1.93    0.00    4.10    3.27    1.64    1.46    1.35    1.68    1.95    1.97   45.92  172.90    0.00   35.56    0.00   10.36    0.43
 1989 356    12   150     1     0.0  266.8  220.4   46.4  222.97    9.19    6.20    3.46    3.09    2.53    2.21    1.94    1.95    0.00    4.01    3.26    1.56    1.40    1.30    1.64    1.93    1.96   48.73  174.81    0.00   37.37    0.00   11.36    0.88
 1989 357    13   150     1     0.0  267.4  221.9   45.5  222.86    9.49    6.51    3.53    3.15    2.57    2.25    1.96    1.96    0.00    3.90    3.25    1.49    1.33    1.25    1.61    1.92    1.94   51.54  176.83    0.00   39.09    0.00   12.45    1.41
 1989 358    14   150     1     0.0  267.9  223.4   44.5  222.79    9.70    6.83    3.60    3.20    2.62    2.28    1.98    1.98    0.00    3.77    3.24    1.42    1.27    1.20    1.57    1.90    1.92   54.28  178.88    0.00   40.68    0.00   13.60    2.09
 1989 359    15   150     1     0.0  268.7  225.1   43.6  222.80   10.02    7.16    3.66    3.26    2.67    2.32    2.00    2.00    0.00    3.68    3.22    1.34    1.21    1.15    1.54    1.88    1.91   56.94  180.96    0.00   42.13    0.00   14.81    2.52
 1989 360    16   150     1     0.0  269.6  226.8   42.7  222.85   10.34    7.50    3.73    3.32    2.72    2.35    2.02    2.02    0.00    3.59    3.19    1.27    1.15    1.11    1.50    1.86    1.89   59.49  183.06    0.00   43.44    0.00   16.05    2.96
 1989 361    17   150     1     0.0  270.6  228.7   41.9  222.94   10.75    7.84    3.79    3.37    2.76    2.39    2.04    2.04    0.00    3.53    3.17    1.20    1.09    1.06    1.47    1.84    1.87   61.94  185.18    0.00   44.62    0.00   17.33    3.21
 1989 362    18   150     1     0.0  271.6  230.6   41.0  223.07   11.15    8.18    3.85    3.42    2.81    2.42    2.06    2.06    0.00    3.47    3.14    1.14    1.03    1.01    1.43    1.82    1.85   64.22  187.22    0.00   45.63    0.00   18.58    3.46
 1989 363    19   150     1     0.0  272.5  232.3   40.2  223.21   11.48    8.50    3.90    3.47    2.85    2.45    2.08    2.08    0.00    3.39    3.11    1.08    0.98    0.97    1.40    1.81    1.84   66.34  189.21    0.00   46.52    0.00   19.82    3.79
 1989 364    20   150     1     0.0  273.4  233.9   39.5  223.38   11.78    8.81    3.95    3.52    2.89    2.48    2.09    2.10    0.00    3.31    3.08    1.03    0.94    0.93    1.37    1.79    1.82   68.28  191.09    0.00   47.27    0.00   21.02    4.14
 1989 365    21   150     1     0.0  274.1  235.4   38.7  223.56   12.01    9.09    3.99    3.56    2.92    2.51    2.11    2.11    0.00    3.23    3.05    0.98    0.89    0.90    1.34    1.77    1.80   70.04  192.85    0.00   47.89    0.00   22.15    4.54
 1990 001    22   150     1     0.0  274.5  236.5   38.0  223.77   12.05    9.34    4.03    3.60    2.95    2.54    2.13    2.13    0.00    3.11    3.02    0.94    0.86    0.87    1.31    1.76    1.79   71.60  194.46    0.00   48.39    0.00   23.20    5.23
 1990 002    23   150     1     0.0  274.6  237.4   37.3  223.96   11.99    9.56    4.06    3.63    2.98    2.57    2.14    2.15    0.00    2.98    2.98    0.90    0.82    0.84    1.29    1.74    1.77   73.05  196.01    0.00   48.82    0.00   24.23    6.11
 1990 003    24   150     1     0.0  274.6  238.1   36.5  224.15   11.87    9.74    4.08    3.66    3.01    2.59    2.16    2.16    0.00    2.84    2.93    0.86    0.79    0.81    1.26    1.73    1.76   74.40  197.48    0.00   49.19    0.00   25.21    7.09
 1990 004    25   150     1     0.0  274.4  238.7   35.8  224.33   11.68    9.89    4.10    3.69    3.04    2.62    2.17    2.18    0.00    2.70    2.88    0.82    0.76    0.78    1.24    1.72    1.75   75.69  198.88    0.00   49.55    0.00   26.14    8.20
 1990 005    26   150     1     0.0  274.2  239.1   35.1  224.50   11.48   10.00    4.11    3.72    3.07    2.64    2.19    2.19    0.00    2.56    2.83    0.78    0.73    0.76    1.22    1.70    1.73   76.90  200.19    0.00   49.89    0.00   27.01    9.37
 1990 006    27   150     1     0.0  273.4  239.1   34.4  224.67   11.11   10.03    4.10    3.74    3.09    2.66    2.20    2.21    0.00    2.41    2.75    0.75    0.70    0.73    1.20    1.69    1.72   78.06  201.41    0.00   50.22    0.00   27.85   10.95
 1990 007    28   150     1     0.0  272.2  238.7   33.6  224.84   10.63    9.95    4.08    3.76    3.11    2.69    2.22    2.22    0.00    2.24    2.66    0.71    0.68    0.71    1.18    1.68    1.71   79.13  202.53    0.00   50.52    0.00   28.62   12.89
 1990 008    29   150     1     0.0  271.0  238.2   32.8  225.00   10.22    9.82    4.03    3.78    3.14    2.71    2.23    2.24    0.00    2.10    2.56    0.67    0.65    0.69    1.16    1.67    1.70   80.16  203.60    0.00   50.80    0.00   29.35   14.83
 1990 009    30   150     1     0.0  269.9  237.8   32.1  225.17    9.91    9.64    3.98    3.79    3.16    2.73    2.24    2.25    0.00    1.97    2.45    0.64    0.63    0.67    1.14    1.66    1.69   81.14  204.64    0.00   51.09    0.00   30.05   16.72
 1990 010    31   150     1     0.0  268.8  237.4   31.3  225.33    9.74    9.43    3.91    3.79    3.18    2.75    2.26    2.27    0.00    1.84    2.33    0.60    0.60    0.65    1.12    1.64    1.67   82.12  205.74    0.00   51.37    0.00   30.75   18.51
 1990 011    32   150     1     0.0  267.7  237.2   30.5  225.49    9.70    9.22    3.83    3.79    3.20    2.77    2.27    2.28    0.00    1.71    2.20    0.56    0.57    0.63    1.10    1.63    1.66   83.09  206.91    0.00   51.67    0.00   31.42   20.19
 1990 012    33   150     1     0.0  266.9  237.2   29.7  225.67    9.75    9.04    3.73    3.78    3.23    2.80    2.29    2.30    0.00    1.59    2.08    0.51    0.54    0.60    1.07    1.62    1.64   84.01  208.09    0.00   51.98    0.00   32.04   21.69
 1990 013    34   150     1     0.0  266.0  237.2   28.8   22.25  102.00   16.81    3.62    3.76    3.26    2.83    2.31    2.32    0.00    1.46    1.94    0.47    0.51    0.58    1.05    1.60    1.63   84.86  209.26    0.00   52.28    0.00   32.58   23.09
 1990 014    35   150     1     0.0  260.4  232.3   28.2   18.80   88.67   24.68    4.44    3.74    3.28    2.85    2.33    2.34    0.00    1.44    1.85    0.44    0.48    0.56    1.03    1.59    1.61   88.71  210.39    0.00   55.68    0.00   33.03   29.09
 1990 015    36   150     1     0.0  255.4  227.7   27.7   19.21   83.83   25.60    4.38    3.73    3.30    2.87    2.34    2.35    0.00    1.47    1.78    0.41    0.45    0.53    1.00    1.57    1.60   93.71  211.51    0.00   59.77    0.00   33.95   35.09
 1990 016    37   150     1     0.0  250.4  223.2   27.2   20.25   80.98   24.72    4.31    3.71    3.32    2.90    2.36    2.37    0.06    1.46    1.70    0.39    0.43    0.51    0.98    1.56    1.59   98.69  212.57    0.00   63.70    0.00   34.99   41.09
 1990 017    38   150     1     0.0  245.5  218.7   26.8   19.25   78.96   23.98    4.23    3.69    3.34    2.92    2.37    2.38    0.36    1.41    1.62    0.36    0.41    0.50    0.96    1.54    1.57  103.00  213.59    0.00   66.88    0.00   36.12   47.09
 1990 018    39   150     1     0.0  240.6  214.3   26.3   18.84   76.93   23.13    4.13    3.65    3.36    2.94    2.39    2.40    0.38    1.34    1.53    0.34    0.39    0.48    0.94    1.53    1.56  106.62  214.68    0.00   69.47    0.00   37.15   53.09
 1990 019    40   150     1     0.0  236.9  211.1   25.8   18.93   75.38   22.43    4.04    3.61    3.37    2.96    2.40    2.41    0.42    1.29    1.46    0.32    0.37    0.46    0.93    1.52    1.55  109.56  215.67    0.00   71.48    0.00   38.07   57.69
 1990 020    41   150     1     0.0  233.5  208.1   25.4   19.26   73.94   21.75    3.94    3.57    3.38    2.98    2.42    2.43    0.41    1.23    1.40    0.30    0.35    0.45    0.91    1.51    1.54  111.91  216.59    0.00   73.04    0.00   38.87   61.90
 1990 021    42   150     1     0.0  229.8  204.9   24.9   19.77   72.37   20.99    3.83    3.51    3.38    2.99    2.43    2.44    0.37    1.17    1.33    0.28    0.33    0.44    0.90    1.50    1.53  113.84  217.40    0.00   74.29    0.00   39.55   66.30
 1990 022    43   150     1     0.0  225.3  201.0   24.3   20.50   70.53   20.09    3.67    3.42    3.37    3.01    2.44    2.45    0.36    1.08    1.24    0.26    0.32    0.42    0.89    1.49    1.52  115.44  218.14    0.00   75.29    0.00   40.16   71.35
 1990 023    44   150     1     0.0  220.4  196.7   23.8   21.26   68.65   19.15    3.46    3.28    3.34    3.03    2.45    2.46    0.35    0.98    1.15    0.24    0.29    0.41    0.87    1.48    1.51  116.75  218.83    0.00   76.08    0.00   40.68   76.75
 1990 024    45   150     1     0.0  216.4  193.2   23.2   21.99   67.10   18.39    3.26    3.15    3.30    3.04    2.46    2.48    0.29    0.90    1.07    0.22    0.27    0.39    0.86    1.47    1.50  117.92  219.50    0.00   76.78    0.00   41.14   81.28
 1990 025    46   150     1     0.0  211.6  189.0   22.6   22.84   65.33   17.54    3.02    2.97    3.25    3.06    2.48    2.49    0.23    0.82    0.99    0.20    0.25    0.37    0.85    1.46    1.49  119.04  220.18    0.00   77.45    0.00   41.59   86.49
 1990 026    47   150     1     0.0  207.2  185.2   22.0   23.77   63.75   16.82    2.76    2.76    3.18    3.08    2.49    2.51    0.20    0.75    0.91    0.18    0.22    0.35    0.83    1.45    1.47  120.09  220.87    0.00   78.07    0.00   42.02   91.34
 1990 027    48   150     1     0.0  204.7  183.1   21.5   24.67   62.87   16.50    2.56    2.57    3.09    3.10    2.51    2.52    0.17    0.70    0.85    0.16    0.20    0.33    0.82    1.44    1.46  120.99  221.53    0.00   78.62    0.00   42.37   94.23
 1990 028    49   150     1     0.0  203.3  182.2   21.0   25.46   62.43   16.41    2.43    2.42    2.99    3.12    2.52    2.54    0.16    0.65    0.79    0.15    0.18    0.31    0.80    1.43    1.45  121.75  222.16    0.00   79.11    0.00   42.64   95.90
 1990 029    50   150     1     0.0  202.3  181.7   20.6   26.16   62.18   16.41    2.35    2.28    2.87    3.14    2.54    2.55    0.15    0.59    0.74    0.14    0.17    0.29    0.78    1.41    1.44  122.40  222.77    0.00   79.53    0.00   42.86   97.09
 1990 030    51   150     1     0.0  201.5  181.4   20.1   26.78   61.99   16.43    2.31    2.17    2.74    3.15    2.55    2.57    0.14    0.54    0.68    0.13    0.15    0.26    0.76    1.40    1.42  122.95  223.34    0.00   79.90    0.00   43.05   98.08
 1990 031    52   150     1     0.0  200.7  181.1   19.7   27.36   61.82   16.46    2.28    2.07    2.59    3.15    2.57    2.58    0.14    0.49    0.63    0.13    0.14    0.24    0.75    1.39    1.41  123.42  223.85    0.00   80.21    0.00   43.21   98.99
 1990 032    53   150     1     0.0  200.0  180.7   19.3   27.70   61.75   16.50    2.27    2.00    2.42    3.13    2.58    2.60    0.14    0.45    0.59    0.12    0.13    0.22    0.72    1.38    1.40  123.84  224.31    0.00   80.48    0.00   43.35   99.88
 1990 033    54   150     1     0.0  199.1  180.2   18.9   28.07   61.66   16.52    2.26    1.93    2.25    3.09    2.60    2.61    0.14    0.42    0.55    0.12    0.12    0.20    0.70    1.37    1.39  124.20  224.70    0.00   80.71    0.00   43.49  100.86
 1990 034    55   150     1     0.0  198.2  179.6   18.5   28.49   61.54   16.54    2.25    1.87    2.07    3.02    2.61    2.63    0.13    0.39    0.52    0.12    0.12    0.18    0.67    1.36    1.38  124.50  225.06    0.00   80.90    0.00   43.61  101.93
 1990 035    56   150     1     0.0  197.1  179.0   18.2   28.93   61.40   16.56    2.24    1.81    1.90    2.91    2.62    2.64    0.13    0.37    0.50    0.12    0.11    0.16    0.63    1.35    1.37  124.76  225.38    0.00   81.05    0.00   43.72  103.09
 1990 036    57   150     1     0.0  196.0  178.2   17.8   29.38   61.25   16.57    2.24    1.78    1.75    2.76    2.63    2.65    0.12    0.35    0.47    0.11    0.11    0.14    0.59    1.34    1.36  124.99  225.67    0.00   81.17    0.00   43.82  104.31
 1990 037    58   150     1     0.0  194.8  177.4   17.5    4.53   55.83   31.29    2.23    1.76    1.63    2.55    2.65    2.66    0.11    0.34    0.45    0.11    0.10    0.13    0.53    1.33    1.35  125.18  225.95    0.00   81.27    0.00   43.91  105.57
 1990 038    59   150     1     0.0  189.1  171.6   17.5    3.46   45.77   36.49    2.23    1.76    1.61    2.50    2.66    2.67    0.00    0.53    0.45    0.11    0.10    0.13    0.51    1.33    1.34  127.32  226.22    0.00   83.20    0.00   44.13  111.57
 1990 039    60   150     1     0.0  183.8  166.1   17.7    3.06   42.54   35.96    2.23    1.76    1.59    2.47    2.67    2.68    0.23    0.69    0.47    0.11    0.10    0.13    0.50    1.32    1.33  130.65  226.54    0.00   85.76    0.00   44.89  117.57
 1990 040    61   200     2     0.0  199.5  160.9   38.7    2.88   39.34   35.46    2.23    1.75    1.57    2.43    2.68    2.70   31.84    0.75    0.48    0.11    0.10    0.12    0.48    1.31    1.32  134.00  227.00    0.00   88.10    0.00   45.91  123.57
