*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!               ----------- STATE VARIABLES -----------  --- ADDED ----   --------------- REMOVED TODAY ---------------     DAILY     CUMUL
@YEAR DOY  DAS      NO3     NH4   TUREA  FLOODN  ALGFIX   AFERT  AMINER    RLCH    RNOX    RNUP    RAML    RNRO  RIMMOB      DBAL      CBAL
 1989 344    0   46.069  60.445   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.000     0.000
 1989 345    1   51.629 128.550  78.802   0.000   0.000 150.000   3.173   0.000   0.000   0.000   0.000   0.000   0.705     0.000     0.000
 1989 346    2  134.634  82.888  41.949   0.000   0.000   0.000   5.863   0.000   0.000   0.000   0.000   0.000   5.374     0.000     0.000
 1989 347    3  166.158  71.206  22.759   0.000   0.000   0.000   5.285   0.000   0.000   0.000   0.000   0.000   4.633     0.000     0.000
 1989 348    4  185.589  62.686  12.550   0.000   0.000   0.000   5.040   0.000   0.000   0.000   0.000   0.000   4.337     0.000     0.000
 1989 349    5  196.793  57.708   7.067   0.000   0.000   0.000   4.755   0.000   0.000   0.000   0.000   0.000   4.012     0.000     0.000
 1989 350    6  203.900  54.444   4.039   0.000   0.000   0.000   4.423   0.000   0.000   0.000   0.000   0.000   3.608     0.000     0.000
 1989 351    7  208.679  52.223   2.344   0.000   0.000   0.000   4.081   0.000   0.000   0.000   0.000   0.000   3.218     0.000     0.000
 1989 352    8  212.073  50.646   1.392   0.000   0.000   0.000   3.728   0.000   0.000   0.000   0.000   0.000   2.864     0.000     0.000
 1989 353    9  214.751  49.409   0.837   0.000   0.000   0.000   3.426   0.000   0.000   0.000   0.000   0.000   2.539     0.000     0.000
 1989 354   10  216.957  48.333   0.505   0.000   0.000   0.000   3.200   0.000   0.000   0.127   0.000   0.000   2.275     0.000     0.000
 1989 355   11  218.819  47.321   0.306   0.000   0.000   0.000   2.948   0.000   0.000   0.304   0.000   0.000   1.993     0.000     0.000
 1989 356   12  220.362  46.448   0.189   0.000   0.000   0.000   2.808   0.000   0.000   0.444   0.000   0.000   1.810     0.000     0.000
 1989 357   13  221.913  45.516   0.123   0.000   0.000   0.000   2.809   0.000   0.000   0.532   0.000   0.000   1.724     0.000     0.000
 1989 358   14  223.393  44.539   0.084   0.000   0.000   0.000   2.737   0.000   0.000   0.688   0.000   0.000   1.585     0.000     0.000
 1989 359   15  225.107  43.630   0.060   0.000   0.000   0.000   2.659   0.000   0.000   0.428   0.000   0.000   1.451     0.000     0.000
 1989 360   16  226.837  42.722   0.044   0.000   0.000   0.000   2.551   0.000   0.000   0.438   0.000   0.000   1.307     0.000     0.000
 1989 361   17  228.735  41.861   0.034   0.000   0.000   0.000   2.458   0.000   0.000   0.252   0.000   0.000   1.180     0.000     0.000
 1989 362   18  230.574  41.036   0.026   0.000   0.000   0.000   2.273   0.000   0.000   0.249   0.000   0.000   1.017     0.000     0.000
 1989 363   19  232.305  40.221   0.021   0.000   0.000   0.000   2.125   0.000   0.000   0.330   0.000   0.000   0.886     0.000     0.000
 1989 364   20  233.924  39.450   0.017   0.000   0.000   0.000   1.941   0.000   0.000   0.347   0.000   0.000   0.749     0.000     0.000
 1989 365   21  235.384  38.724   0.014   0.000   0.000   0.000   1.753   0.000   0.000   0.400   0.000   0.000   0.622     0.000     0.000
 1990 001   22  236.489  37.996   0.000   0.000   0.000   0.000   1.558   0.000   0.000   0.692   0.000   0.000   0.503     0.000     0.000
 1990 002   23  237.380  37.254   0.000   0.000   0.000   0.000   1.453   0.000   0.000   0.879   0.000   0.000   0.424     0.000     0.000
 1990 003   24  238.114  36.521   0.000   0.000   0.000   0.000   1.351   0.000   0.000   0.975   0.000   0.000   0.376     0.000     0.000
 1990 004   25  238.657  35.790   0.000   0.000   0.000   0.000   1.294   0.000   0.000   1.120   0.000   0.000   0.362     0.000     0.000
 1990 005   26  239.063  35.094   0.000   0.000   0.000   0.000   1.209   0.000   0.000   1.161   0.000   0.000   0.338     0.000     0.000
 1990 006   27  239.054  34.353   0.000   0.000   0.000   0.000   1.160   0.000   0.000   1.587   0.000   0.000   0.324     0.000     0.000
 1990 007   28  238.656  33.582   0.000   0.000   0.000   0.000   1.070   0.000   0.000   1.939   0.000   0.000   0.300     0.000     0.000
 1990 008   29  238.197  32.838   0.000   0.000   0.000   0.000   1.023   0.000   0.000   1.939   0.000   0.000   0.288     0.000     0.000
 1990 009   30  237.751  32.100   0.000   0.000   0.000   0.000   0.984   0.000   0.000   1.885   0.000   0.000   0.281     0.000     0.000
 1990 010   31  237.421  31.333   0.000   0.000   0.000   0.000   0.981   0.000   0.000   1.789   0.000   0.000   0.289     0.000     0.000
 1990 011   32  237.226  30.515   0.000   0.000   0.000   0.000   0.970   0.000   0.000   1.683   0.000   0.000   0.299     0.000     0.000
 1990 012   33  237.182  29.672   0.000   0.000   0.000   0.000   0.924   0.000   0.000   1.507   0.000   0.000   0.305     0.000     0.000
 1990 013   34  237.192  28.813   0.000   0.000   0.000   0.000   0.846   0.000   0.000   1.395   0.000   0.000   0.299     0.000     0.000
 1990 014   35  232.259  28.190   0.000   0.000   0.000   0.000   3.845   0.000   0.000   6.000   0.000   0.000   3.401     0.000     0.000
 1990 015   36  227.676  27.694   0.000   0.000   0.000   0.000   5.008   0.000   0.000   6.000   0.000   0.000   4.086     0.000     0.000
 1990 016   37  223.196  27.215   0.000   0.000   0.000   0.000   4.973   0.000   0.000   6.000   0.000   0.000   3.932     0.000     0.000
 1990 017   38  218.692  26.847   0.000   0.000   0.000   0.000   4.310   0.000   0.000   6.000   0.000   0.000   3.182     0.000     0.000
 1990 018   39  214.277  26.294   0.000   0.000   0.000   0.000   3.620   0.000   0.000   6.000   0.000   0.000   2.588     0.000     0.000
 1990 019   40  211.055  25.838   0.000   0.000   0.000   0.000   2.939   0.000   0.000   4.605   0.000   0.000   2.013     0.000     0.000
 1990 020   41  208.113  25.374   0.000   0.000   0.000   0.000   2.356   0.000   0.000   4.203   0.000   0.000   1.560     0.000     0.000
 1990 021   42  204.883  24.879   0.000   0.000   0.000   0.000   1.928   0.000   0.000   4.406   0.000   0.000   1.246     0.000     0.000
 1990 022   43  200.980  24.342   0.000   0.000   0.000   0.000   1.605   0.000   0.000   5.043   0.000   0.000   1.002     0.000     0.000
 1990 023   44  196.692  23.752   0.000   0.000   0.000   0.000   1.310   0.000   0.000   5.400   0.000   0.000   0.788     0.000     0.000
 1990 024   45  193.166  23.203   0.000   0.000   0.000   0.000   1.165   0.000   0.000   4.537   0.000   0.000   0.703     0.000     0.000
 1990 025   46  189.006  22.609   0.000   0.000   0.000   0.000   1.118   0.000   0.000   5.205   0.000   0.000   0.666     0.000     0.000
 1990 026   47  185.173  22.018   0.000   0.000   0.000   0.000   1.049   0.000   0.000   4.852   0.000   0.000   0.622     0.000     0.000
 1990 027   48  183.148  21.511   0.000   0.000   0.000   0.000   0.908   0.000   0.000   2.884   0.000   0.000   0.556     0.000     0.000
 1990 028   49  182.220  21.031   0.000   0.000   0.000   0.000   0.756   0.000   0.000   1.680   0.000   0.000   0.484     0.000     0.000
 1990 029   50  181.728  20.553   0.000   0.000   0.000   0.000   0.646   0.000   0.000   1.189   0.000   0.000   0.426     0.000     0.000
 1990 030   51  181.388  20.092   0.000   0.000   0.000   0.000   0.555   0.000   0.000   0.987   0.000   0.000   0.369     0.000     0.000
 1990 031   52  181.077  19.659   0.000   0.000   0.000   0.000   0.472   0.000   0.000   0.905   0.000   0.000   0.311     0.000     0.000
 1990 032   53  180.725  19.259   0.000   0.000   0.000   0.000   0.413   0.000   0.000   0.896   0.000   0.000   0.269     0.000     0.000
 1990 033   54  180.248  18.891   0.000   0.000   0.000   0.000   0.359   0.000   0.000   0.977   0.000   0.000   0.226     0.000     0.000
 1990 034   55  179.649  18.537   0.000   0.000   0.000   0.000   0.307   0.000   0.000   1.074   0.000   0.000   0.186     0.000     0.000
 1990 035   56  178.955  18.185   0.000   0.000   0.000   0.000   0.261   0.000   0.000   1.155   0.000   0.000   0.152     0.000     0.000
 1990 036   57  178.194  17.828   0.000   0.000   0.000   0.000   0.222   0.000   0.000   1.217   0.000   0.000   0.123     0.000     0.000
 1990 037   58  177.392  17.454   0.000   0.000   0.000   0.000   0.195   0.000   0.000   1.268   0.000   0.000   0.103     0.000     0.000
 1990 038   59  171.603  17.462   0.000   0.000   0.000   0.000   2.141   0.000   0.000   6.000   0.000   0.000   1.922     0.000     0.000
 1990 039   60  166.130  17.701   0.000   0.000   0.000   0.000   3.328   0.000   0.000   6.000   0.000   0.000   2.562     0.000     0.000
 1990 040   61  160.883  38.664  29.297   0.000   0.000  50.000   3.351   0.000   0.000   6.000   0.000   0.000   2.338     0.000     0.000
 1990 041   62  173.772  32.881  17.139   0.000   0.000   0.000   3.042   0.000   0.000   6.000   0.000   0.000   2.095     0.000     0.000
 1990 042   63  182.149  26.598   9.926   0.000   0.000   0.000   2.651   0.000   0.000   6.000   0.000   0.000   1.771     0.000     0.000
 1990 043   64  184.969  22.105   6.409   0.000   0.000   0.000   2.010   0.000   0.000   6.000   0.000   0.000   1.199     0.000     0.000
 1990 044   65  184.519  20.084   4.760   0.000   0.000   0.000   1.350   0.000   0.000   4.713   0.000   0.000   0.756     0.000     0.000
 1990 045   66  185.349  18.776   3.722   0.000   0.000   0.000   0.908   0.000   0.000   1.882   0.000   0.000   0.542     0.000     0.000
 1990 046   67  186.074  17.855   2.921   0.000   0.000   0.000   0.763   0.000   0.000   1.257   0.000   0.000   0.503     0.000     0.000
 1990 047   68  186.418  17.267   2.298   0.000   0.000   0.000   0.696   0.000   0.000   1.109   0.000   0.000   0.454     0.000     0.000
 1990 048   69  186.616  16.832   1.815   0.000   0.000   0.000   0.611   0.000   0.000   0.935   0.000   0.000   0.397     0.000     0.000
 1990 049   70  186.867  16.456   1.439   0.000   0.000   0.000   0.516   0.000   0.000   0.672   0.000   0.000   0.344     0.000     0.000
 1990 050   71  187.165  16.085   1.146   0.000   0.000   0.000   0.449   0.000   0.000   0.506   0.000   0.000   0.310     0.000     0.000
 1990 051   72  187.467  15.682   0.917   0.000   0.000   0.000   0.423   0.000   0.000   0.451   0.000   0.000   0.302     0.000     0.000
 1990 052   73  187.720  15.268   0.737   0.000   0.000   0.000   0.423   0.000   0.000   0.462   0.000   0.000   0.302     0.000     0.000
 1990 053   74  187.893  14.846   0.596   0.000   0.000   0.000   0.427   0.000   0.000   0.513   0.000   0.000   0.303     0.000     0.000
 1990 054   75  187.973  14.429   0.484   0.000   0.000   0.000   0.427   0.000   0.000   0.576   0.000   0.000   0.300     0.000     0.000
