*SOIL ORGANIC N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                --------  STATE VARIABLES TODAY  -------   -------- ADDED TODAY --------   -REMOV TODAY-   BALANCE   BALANCE
@YEAR DOY   DAS  SRFLIT SRFSOM1   TLITN    TSOMN  SRFSOIL  RESIDN  SENESN   IMMOB  TOTADD   MINER  TOTSUB    DAYBAL    CUMBAL
 1989 344     0    0.00    0.00    7.52  6111.05     0.00    0.00    0.00    0.00    0.00    0.00    0.00     0.000     0.000
 1989 345     1  160.00    0.00    7.21  6108.88  6276.09  160.00    0.00    0.71  160.71    3.17    3.17     0.000     0.000
 1989 346     2  154.65    6.95    6.93  6107.07  6275.60    0.00    0.00    5.37    5.37    5.86    5.86     0.000     0.000
 1989 347     3  150.11   12.77    6.68  6105.39  6274.95    0.00    0.00    4.63    4.63    5.28    5.28     0.000     0.000
 1989 348     4  145.88   18.13    6.45  6103.79  6274.25    0.00    0.00    4.34    4.34    5.04    5.04     0.001     0.001
 1989 349     5  141.99   23.01    6.24  6102.27  6273.51    0.00    0.00    4.01    4.01    4.76    4.76     0.000     0.000
 1989 350     6  138.52   27.29    6.04  6100.84  6272.69    0.00    0.00    3.61    3.61    4.42    4.42    -0.001     0.000
 1989 351     7  135.47   31.02    5.86  6099.48  6271.83    0.00    0.00    3.22    3.22    4.08    4.08     0.000     0.000
 1989 352     8  132.78   34.27    5.70  6098.22  6270.96    0.00    0.00    2.86    2.86    3.73    3.73     0.001     0.001
 1989 353     9  130.42   37.08    5.55  6097.03  6270.08    0.00    0.00    2.54    2.54    3.43    3.43     0.000     0.000
 1989 354    10  128.35   39.53    5.40  6095.87  6269.15    0.00    0.00    2.28    2.28    3.20    3.20     0.000     0.000
 1989 355    11  126.58   41.60    5.27  6094.75  6268.20    0.00    0.00    1.99    1.99    2.95    2.95     0.000     0.001
 1989 356    12  125.01   43.43    5.13  6093.63  6267.20    0.00    0.00    1.81    1.81    2.81    2.81     0.000     0.000
 1989 357    13  123.56   45.12    5.00  6092.44  6266.12    0.00    0.00    1.72    1.72    2.81    2.81     0.001     0.001
 1989 358    14  122.27   46.61    4.86  6091.22  6264.96    0.00    0.00    1.58    1.58    2.74    2.74     0.000     0.001
 1989 359    15  121.12   47.92    4.73  6089.99  6263.75    0.00    0.00    1.45    1.45    2.66    2.66    -0.001     0.000
 1989 360    16  120.14   49.04    4.60  6088.74  6262.51    0.00    0.00    1.31    1.31    2.55    2.55     0.001     0.001
 1989 361    17  119.29   49.99    4.47  6087.48  6261.23    0.00    0.00    1.18    1.18    2.46    2.46     0.000     0.000
 1989 362    18  118.60   50.75    4.35  6086.27  6259.98    0.00    0.00    1.02    1.02    2.27    2.27     0.000     0.000
 1989 363    19  118.05   51.36    4.24  6085.09  6258.74    0.00    0.00    0.89    0.89    2.13    2.13     0.000     0.000
 1989 364    20  117.62   51.83    4.13  6083.96  6257.54    0.00    0.00    0.75    0.75    1.94    1.94    -0.001     0.000
 1989 365    21  117.31   52.17    4.03  6082.91  6256.41    0.00    0.00    0.62    0.62    1.75    1.75     0.000     0.000
 1990   1    22  117.09   52.39    3.95  6081.93  6255.36    0.00    0.00    0.50    0.50    1.56    1.56     0.001     0.001
 1990   2    23  116.95   52.53    3.86  6080.98  6254.33    0.00    0.00    0.42    0.42    1.45    1.45     0.000     0.001
 1990   3    24  116.85   52.65    3.78  6080.07  6253.35    0.00    0.00    0.38    0.38    1.35    1.35    -0.001     0.000
 1990   4    25  116.75   52.76    3.71  6079.20  6252.42    0.00    0.00    0.36    0.36    1.29    1.29     0.000     0.000
 1990   5    26  116.65   52.87    3.64  6078.39  6251.55    0.00    0.00    0.34    0.34    1.21    1.21     0.001     0.001
 1990   6    27  116.56   52.98    3.57  6077.61  6250.72    0.00    0.00    0.32    0.32    1.16    1.16     0.000     0.001
 1990   7    28  116.46   53.08    3.51  6076.88  6249.95    0.00    0.00    0.30    0.30    1.07    1.07     0.000     0.001
 1990   8    29  116.37   53.19    3.46  6076.19  6249.21    0.00    0.00    0.29    0.29    1.02    1.02     0.000     0.001
 1990   9    30  116.28   53.29    3.40  6075.53  6248.51    0.00    0.00    0.28    0.28    0.98    0.98     0.000     0.001
 1990  10    31  116.18   53.41    3.34  6074.88  6247.82    0.00    0.00    0.29    0.29    0.98    0.98    -0.001     0.000
 1990  11    32  116.07   53.54    3.29  6074.25  6247.15    0.00    0.00    0.30    0.30    0.97    0.97     0.000     0.000
 1990  12    33  115.94   53.68    3.23  6073.67  6246.53    0.00    0.00    0.30    0.30    0.92    0.92     0.000     0.001
 1990  13    34  115.81   53.83    3.17  6073.17  6245.98    0.00    0.00    0.30    0.30    0.85    0.85    -0.001     0.000
 1990  14    35  112.65   58.01    3.09  6071.79  6245.54    0.00    0.00    3.40    3.40    3.84    3.84     0.000     0.000
 1990  15    36  108.86   62.39    3.01  6070.36  6244.61    0.00    0.00    4.09    4.09    5.01    5.01     0.001     0.001
 1990  16    37  105.19   66.39    2.93  6069.06  6243.57    0.00    0.00    3.93    3.93    4.97    4.97     0.000     0.001
 1990  17    38  102.27   69.35    2.86  6067.96  6242.45    0.00    0.00    3.18    3.18    4.31    4.31     0.000     0.000
 1990  18    39   99.94   71.66    2.80  6067.01  6241.41    0.00    0.00    2.59    2.59    3.62    3.62     0.000     0.001
 1990  19    40   98.16   73.36    2.75  6066.21  6240.49    0.00    0.00    2.01    2.01    2.94    2.94    -0.001     0.000
 1990  20    41   96.81   74.62    2.71  6065.55  6239.69    0.00    0.00    1.56    1.56    2.36    2.36     0.000     0.000
 1990  21    42   95.75   75.60    2.68  6064.98  6239.01    0.00    0.00    1.25    1.25    1.93    1.93     0.000     0.000
 1990  22    43   94.93   76.35    2.64  6064.48  6238.41    0.00    0.00    1.00    1.00    1.60    1.60     0.000     0.000
 1990  23    44   94.31   76.92    2.61  6064.05  6237.88    0.00    0.00    0.79    0.79    1.31    1.31    -0.001     0.000
 1990  24    45   93.76   77.44    2.58  6063.64  6237.42    0.00    0.00    0.70    0.70    1.16    1.16     0.001     0.000
 1990  25    46   93.25   77.94    2.55  6063.23  6236.97    0.00    0.00    0.67    0.67    1.12    1.12     0.000     0.000
 1990  26    47   92.78   78.40    2.52  6062.85  6236.54    0.00    0.00    0.62    0.62    1.05    1.05     0.000     0.000
 1990  27    48   92.33   78.82    2.49  6062.54  6236.19    0.00    0.00    0.56    0.56    0.91    0.91     0.000     0.000
 1990  28    49   91.93   79.21    2.46  6062.32  6235.92    0.00    0.00    0.48    0.48    0.76    0.76     0.000     0.000
 1990  29    50   91.56   79.56    2.44  6062.14  6235.70    0.00    0.00    0.43    0.43    0.65    0.65     0.001     0.001
 1990  30    51   91.24   79.86    2.42  6062.00  6235.51    0.00    0.00    0.37    0.37    0.56    0.56    -0.001     0.000
 1990  31    52   90.97   80.11    2.40  6061.88  6235.35    0.00    0.00    0.31    0.31    0.47    0.47     0.000     0.000
 1990  32    53   90.73   80.32    2.38  6061.77  6235.21    0.00    0.00    0.27    0.27    0.41    0.41     0.001     0.000
 1990  33    54   90.54   80.50    2.37  6061.67  6235.07    0.00    0.00    0.23    0.23    0.36    0.36    -0.001    -0.001
 1990  34    55   90.38   80.64    2.36  6061.58  6234.95    0.00    0.00    0.19    0.19    0.31    0.31     0.001     0.000
 1990  35    56   90.26   80.74    2.34  6061.50  6234.85    0.00    0.00    0.15    0.15    0.26    0.26     0.000     0.000
 1990  36    57   90.16   80.82    2.33  6061.43  6234.75    0.00    0.00    0.12    0.12    0.22    0.22     0.000     0.000
 1990  37    58   90.09   80.89    2.33  6061.35  6234.65    0.00    0.00    0.10    0.10    0.19    0.19     0.000     0.000
 1990  38    59   88.34   83.23    2.30  6060.56  6234.44    0.00    0.00    1.92    1.92    2.14    2.14     0.000     0.000
 1990  39    60   85.98   85.76    2.28  6059.66  6233.67    0.00    0.00    2.56    2.56    3.33    3.33     0.000     0.000
 1990  40    61   83.82   87.70    2.25  6058.88  6232.66    0.00    0.00    2.34    2.34    3.35    3.35     0.000     0.000
 1990  41    62   81.94   89.32    2.23  6058.21  6231.71    0.00    0.00    2.09    2.09    3.04    3.04     0.000     0.000
 1990  42    63   80.40   90.57    2.21  6057.65  6230.83    0.00    0.00    1.77    1.77    2.65    2.65     0.000     0.000
 1990  43    64   79.38   91.21    2.20  6057.22  6230.02    0.00    0.00    1.20    1.20    2.01    2.01    -0.001     0.000
 1990  44    65   78.76   91.57    2.19  6056.91  6229.42    0.00    0.00    0.76    0.76    1.35    1.35     0.001     0.000
 1990  45    66   78.29   91.90    2.18  6056.69  6229.06    0.00    0.00    0.54    0.54    0.91    0.91     0.001     0.001
 1990  46    67   77.85   92.27    2.17  6056.51  6228.80    0.00    0.00    0.50    0.50    0.76    0.76    -0.001     0.000
 1990  47    68   77.45   92.60    2.16  6056.35  6228.56    0.00    0.00    0.45    0.45    0.70    0.70     0.000     0.000
 1990  48    69   77.10   92.87    2.15  6056.22  6228.34    0.00    0.00    0.40    0.40    0.61    0.61     0.000     0.000
