*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    TS9D    
 1989 345     1    24.4    24.3    24.3    24.2    24.1    24.0    23.9    23.8    23.6    23.4
 1989 346     2    23.7    23.6    23.6    23.5    23.5    23.4    23.3    23.2    23.1    23.0
 1989 347     3    23.0    23.0    23.0    23.0    22.9    22.8    22.8    22.7    22.6    22.5
 1989 348     4    22.2    22.2    22.2    22.2    22.2    22.1    22.1    22.1    22.1    22.0
 1989 349     5    21.7    21.7    21.6    21.6    21.6    21.6    21.6    21.6    21.6    21.6
 1989 350     6    21.0    21.0    21.0    21.1    21.1    21.1    21.1    21.1    21.2    21.2
 1989 351     7    20.1    20.1    20.1    20.2    20.2    20.3    20.4    20.4    20.5    20.6
 1989 352     8    19.6    19.6    19.6    19.7    19.7    19.8    19.9    20.0    20.1    20.2
 1989 353     9    19.5    19.5    19.5    19.6    19.6    19.7    19.8    19.9    20.0    20.2
 1989 354    10    19.2    19.3    19.3    19.4    19.5    19.5    19.6    19.7    19.9    20.0
 1989 355    11    19.6    19.6    19.6    19.7    19.8    19.8    19.9    20.0    20.1    20.2
 1989 356    12    20.6    20.7    20.7    20.7    20.7    20.8    20.8    20.8    20.9    20.9
 1989 357    13    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3
 1989 358    14    21.8    21.8    21.8    21.8    21.8    21.8    21.8    21.8    21.7    21.7
 1989 359    15    22.2    22.2    22.2    22.2    22.2    22.1    22.1    22.1    22.0    22.0
 1989 360    16    22.7    22.7    22.7    22.6    22.6    22.5    22.5    22.4    22.4    22.3
 1989 361    17    22.5    22.5    22.5    22.4    22.4    22.3    22.3    22.3    22.2    22.1
 1989 362    18    22.4    22.4    22.4    22.3    22.3    22.3    22.2    22.2    22.1    22.1
 1989 363    19    21.9    21.9    21.9    21.9    21.9    21.9    21.8    21.8    21.8    21.8
 1989 364    20    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3    21.3
 1989 365    21    20.4    20.4    20.4    20.4    20.5    20.5    20.5    20.6    20.6    20.7
 1990 001    22    20.3    20.3    20.3    20.4    20.4    20.4    20.5    20.5    20.6    20.7
 1990 002    23    20.0    20.0    20.0    20.1    20.1    20.2    20.2    20.3    20.4    20.5
 1990 003    24    19.8    19.8    19.8    19.9    19.9    20.0    20.1    20.1    20.2    20.3
 1990 004    25    19.2    19.2    19.3    19.3    19.4    19.5    19.6    19.7    19.8    19.9
 1990 005    26    18.9    18.9    19.0    19.0    19.1    19.2    19.3    19.4    19.6    19.7
 1990 006    27    18.2    18.2    18.3    18.4    18.5    18.6    18.8    18.9    19.1    19.3
 1990 007    28    18.2    18.2    18.3    18.3    18.5    18.6    18.7    18.8    19.0    19.2
 1990 008    29    18.5    18.5    18.6    18.7    18.8    18.9    19.0    19.1    19.3    19.4
 1990 009    30    19.8    19.8    19.8    19.8    19.9    20.0    20.0    20.1    20.2    20.3
