*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1989 344     0   317   252      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.211   0.211   0.211   0.211   0.211   0.211   0.211   0.211   0.211
 1989 345     1   316   251      0      0      0     0     0    75    0.00   0.0   0.0   0.00   0.195   0.210   0.211   0.211   0.211   0.211   0.211   0.211   0.211
 1989 346     2   315   251      0      0      0     0     0   150    3.80   0.0   0.0   0.00   0.183   0.209   0.211   0.211   0.211   0.211   0.211   0.211   0.211
 1989 347     3   315   251      0      0      0     0     0   150    1.86   0.0   0.0   0.00   0.183   0.209   0.211   0.211   0.211   0.211   0.211   0.211   0.211
 1989 348     4   315   251      0      0      0     0     0   150    0.51   0.0   0.0   0.00   0.183   0.209   0.211   0.211   0.211   0.211   0.211   0.211   0.211
 1989 349     5   314   250      0      0      0     0     0   150    0.14   0.0   0.0   0.00   0.177   0.209   0.210   0.211   0.211   0.211   0.211   0.211   0.211
 1989 350     6   314   250      0      0      0     0     0   150    0.04   0.0   0.0   0.00   0.170   0.208   0.210   0.211   0.211   0.211   0.211   0.211   0.211
 1989 351     7   314   249      0      0      0     0     0   150    0.01   0.0   0.0   0.00   0.166   0.208   0.210   0.211   0.211   0.211   0.211   0.211   0.211
 1989 352     8   313   249      0      0      0     0     0   150    0.00   0.0   0.0   0.00   0.157   0.207   0.210   0.211   0.211   0.211   0.211   0.211   0.211
 1989 353     9   313   248      0      0      0     0     0   150    0.00   0.0   0.0   0.00   0.147   0.206   0.210   0.211   0.211   0.211   0.211   0.211   0.211
 1989 354    10   312   248      0      0      0     0     0   150    0.00   0.0   0.0   0.00   0.137   0.205   0.210   0.210   0.211   0.211   0.211   0.211   0.211
