*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1989 344     0  316.50    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 1989 345     1  315.51    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.99   0.00   0.00   0.00    0.00      0.00        0.00   -0.99    0.00    0.00    0.00        0.00  -16.48    0.00
 1989 346     2  314.82    0.00    0.00   3.80   0.00   0.00   3.80   0.00   0.00   0.00   0.00   0.69   0.00   0.00   0.00    0.00      0.00        0.00   -0.69    0.00    0.00    0.00        0.00  -11.29    0.00
 1989 347     3  314.82    0.00    0.00   1.86   0.00   0.00   0.00   1.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00        0.00    0.00    0.00
 1989 348     4  314.82    0.00    0.00   0.51   0.00   0.00   0.00   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00        0.00    0.00    0.00
 1989 349     5  314.44    0.00    0.00   0.14   0.00   0.00   0.00   0.37   0.00   0.00   0.00   0.39   0.00   0.00   0.00    0.00      0.00        0.00   -0.39    0.00    0.00    0.00        0.00   -6.29    0.00
 1989 350     6  314.00    0.00    0.00   0.04   0.00   0.00   0.00   0.10   0.00   0.00   0.00   0.43   0.00   0.00   0.00    0.00      0.00        0.00   -0.43    0.00    0.00    0.00        0.00   -6.98    0.00
 1989 351     7  313.73    0.00    0.00   0.01   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.28   0.00   0.00   0.00    0.00      0.00        0.00   -0.28    0.00    0.00    0.00        0.00   -4.41    0.00
 1989 352     8  313.22    0.00    0.00   0.00   0.00   0.00   0.00   0.01   0.00   0.00   0.00   0.51   0.00   0.00   0.00    0.00      0.00        0.00   -0.51    0.00    0.00    0.00        0.00   -8.06    0.00
 1989 353     9  312.58    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.64   0.00   0.00   0.00    0.00      0.00        0.00   -0.64    0.00    0.00    0.00        0.00  -10.07    0.00
