*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1989 345     1    0.0   10.4   11.3   15.8   31.6   0.04   25.6    6.0   14.9   18.4    6.0   14.9   18.4   86.4  353.4
 1989 346     2    0.0   10.4   11.3   16.5   33.0   0.00   24.0    2.8   12.5   16.2    2.8   12.5   16.2   86.4  353.4
 1989 347     3    0.0   10.3   11.3   17.1   34.2   0.00   25.6    2.6   13.1   17.2    2.6   13.1   17.2   86.4  353.4
 1989 348     4    0.0   10.3   11.3   15.3   30.6   0.06   23.4    5.0   13.4   16.6    5.0   13.4   16.6   86.4  353.4
 1989 349     5    0.0   10.3   11.3   15.8   31.6   0.03   26.0    6.4   15.3   18.8    6.4   15.3   18.8   86.4  353.5
 1989 350     6    0.0   10.3   11.3   11.5   23.0   0.29   20.0    9.6   14.3   16.2    9.6   14.3   16.2   86.4  353.5
 1989 351     7    0.0   10.3   11.3    6.6   13.2   0.59   16.0   12.6   14.2   14.7   12.6   14.2   14.7   86.4  353.5
 1989 352     8    0.0   10.3   11.3    9.9   19.8   0.39   22.4   14.8   18.3   19.6   14.8   18.3   19.6   86.4  353.5
 1989 353     9    0.0   10.3   11.3   12.3   24.6   0.24   23.6   11.8   17.2   19.3   11.8   17.2   19.3   86.4  353.5
 1989 354    10    0.0   10.3   11.3   13.2   26.4   0.19   24.0   10.4   16.6   19.0   10.4   16.6   19.0   86.4  353.5
 1989 355    11    0.0   10.3   11.3   13.9   27.8   0.14   24.0    9.0   15.8   18.5    9.0   15.8   18.5   86.4  353.5
 1989 356    12    0.0   10.3   11.3   14.0   28.0   0.14   25.6   10.2   17.2   19.9   10.2   17.2   19.9   86.4  353.5
 1989 357    13    0.0   10.3   11.3   13.9   27.8   0.14   25.0    9.8   16.7   19.4    9.8   16.7   19.4   86.4  353.5
 1989 358    14    0.0   10.3   11.3   14.1   28.2   0.13   27.0   11.4   18.5   21.3   11.4   18.5   21.3   86.4  353.5
 1989 359    15    0.0   10.3   11.3   14.3   28.6   0.12   25.6    9.6   16.9   19.7    9.6   16.9   19.7   86.4  353.5
 1989 360    16    0.0   10.3   11.3   13.7   27.4   0.16   26.6   12.0   18.7   21.2   12.0   18.7   21.2   86.4  353.5
 1989 361    17    0.0   10.3   11.3   10.8   21.6   0.34   21.4   12.2   16.4   18.0   12.2   16.4   18.0   86.4  353.5
 1989 362    18    0.0   10.3   11.3   11.9   23.8   0.27   24.6   13.6   18.6   20.6   13.6   18.6   20.6   86.4  353.5
 1989 363    19    0.0   10.3   11.3   10.7   21.4   0.34   22.6   13.6   17.7   19.3   13.6   17.7   19.3   86.4  353.5
 1989 364    20    0.0   10.4   11.3    9.9   19.8   0.39   20.6   13.0   16.5   17.8   13.0   16.5   17.8   86.4  353.5
 1989 365    21    0.0   10.4   11.3   13.6   27.2   0.17   21.2    6.8   13.4   15.9    6.8   13.4   15.9   86.4  353.5
 1990 001    22    0.0   10.4   11.3   15.4   30.8   0.06   24.4    7.8   15.4   18.3    7.8   15.4   18.3   86.4  353.5
 1990 002    23    0.0   10.4   11.3   14.1   28.2   0.14   22.6    8.6   15.0   17.5    8.6   15.0   17.5   86.4  353.5
 1990 003    24    0.0   10.4   11.4   13.5   27.0   0.18   22.4    9.6   15.4   17.7    9.6   15.4   17.7   86.4  353.5
 1990 004    25    0.0   10.4   11.4   10.8   21.6   0.35   16.4    8.2   11.9   13.4    8.2   11.9   13.4   86.4  353.5
 1990 005    26    0.0   10.4   11.4   14.8   29.6   0.11   20.4    5.0   12.0   14.8    5.0   12.0   14.8   86.4  353.5
 1990 006    27    0.0   10.4   11.4   15.5   31.0   0.07   20.0    3.2   10.9   13.9    3.2   10.9   13.9   86.4  353.5
 1990 007    28    0.0   10.4   11.4   16.4   32.8   0.02   24.6    5.8   14.4   17.7    5.8   14.4   17.7   86.4  353.5
 1990 008    29    0.0   10.4   11.4   17.8   35.6   0.00   26.0    3.8   14.0   17.9    3.8   14.0   17.9   86.4  353.5
 1990 009    30    0.0   10.4   11.4   17.7   35.4   0.00   27.0    5.0   15.1   19.0    5.0   15.1   19.0   86.4  353.5
 1990 010    31    0.0   10.4   11.4   17.8   35.6   0.00   29.2    7.0   17.2   21.1    7.0   17.2   21.1   86.4  353.5
 1990 011    32    0.0   10.4   11.4   16.5   33.0   0.02   27.6    8.4   17.2   20.6    8.4   17.2   20.6   86.4  353.5
 1990 012    33    0.0   10.5   11.4   15.1   30.2   0.11   27.0   11.0   18.3   21.2   11.0   18.3   21.2   86.4  353.5
 1990 013    34    0.0   10.5   11.4   15.8   31.6   0.07   27.0    9.6   17.6   20.7    9.6   17.6   20.7   86.4  353.5
 1990 014    35    0.0   10.5   11.4   15.5   31.0   0.09   25.0    8.2   15.9   18.9    8.2   15.9   18.9   86.4  353.5
 1990 015    36    0.0   10.5   11.5   16.3   32.6   0.05   24.6    6.0   14.5   17.9    6.0   14.5   17.9   86.4  353.6
 1990 016    37    0.0   10.5   11.5   13.6   27.2   0.21   23.0   10.0   16.0   18.3   10.0   16.0   18.3   86.4  353.6
 1990 017    38    0.0   10.5   11.5   15.8   31.6   0.09   21.2    3.8   11.8   14.9    3.8   11.8   14.9   86.4  353.6
 1990 018    39    0.0   10.5   11.5   14.5   29.0   0.17   20.0    5.2   12.0   14.7    5.2   12.0   14.7   86.4  353.6
 1990 019    40    0.0   10.6   11.5   14.0   28.0   0.20   17.6    3.8   10.1   12.6    3.8   10.1   12.6   86.4  353.6
 1990 020    41    0.0   10.6   11.5   15.5   31.0   0.12   20.0    3.2   10.9   14.0    3.2   10.9   14.0   86.4  353.6
 1990 021    42    0.0   10.6   11.5   17.3   34.6   0.02   24.6    3.6   13.3   17.0    3.6   13.3   17.0   86.4  353.6
 1990 022    43    0.0   10.6   11.5   13.8   27.6   0.22   23.8   10.4   16.6   19.0   10.4   16.6   19.0   86.4  353.6
 1990 023    44    0.0   10.6   11.6   12.1   24.2   0.32   23.0   12.8   17.5   19.3   12.8   17.5   19.3   86.4  353.6
 1990 024    45    0.0   10.6   11.6   14.7   29.4   0.18   27.0   11.8   18.8   21.6   11.8   18.8   21.6   86.4  353.6
 1990 025    46    0.0   10.7   11.6   16.5   33.0   0.09   30.2   11.0   19.8   23.3   11.0   19.8   23.3   86.4  353.6
 1990 026    47    0.0   10.7   11.6   17.7   35.4   0.03   28.0    6.0   16.1   20.1    6.0   16.1   20.1   86.4  353.6
 1990 027    48    0.0   10.7   11.6   16.5   33.0   0.10   27.0    8.0   16.8   20.2    8.0   16.8   20.2   86.4  353.6
 1990 028    49    0.0   10.7   11.6   15.9   31.8   0.14   26.6    8.8   17.0   20.3    8.8   17.0   20.3   86.4  353.6
 1990 029    50    0.0   10.7   11.7   16.1   32.2   0.13   26.4    8.2   16.6   19.9    8.2   16.6   19.9   86.4  353.6
 1990 030    51    0.0   10.7   11.7   16.7   33.4   0.10   26.2    6.6   15.7   19.2    6.6   15.7   19.2   86.4  353.6
 1990 031    52    0.0   10.8   11.7   10.3   20.6   0.45   20.0   12.6   16.0   17.4   12.6   16.0   17.4   86.4  353.6
 1990 032    53    0.0   10.8   11.7   13.0   26.0   0.31   18.0    9.6   13.5   15.0    9.6   13.5   15.0   86.4  353.6
 1990 033    54    0.0   10.8   11.7   16.0   32.0   0.16   20.2    7.6   13.4   15.8    7.6   13.4   15.8   86.4  353.6
 1990 034    55    0.0   10.8   11.7   18.4   36.8   0.04   22.0    5.2   13.0   16.1    5.2   13.0   16.1   86.4  353.6
 1990 035    56    0.0   10.8   11.8   20.2   40.4   0.00   23.0    2.8   12.2   15.9    2.8   12.2   15.9   86.4  353.6
 1990 036    57    0.0   10.9   11.8   20.3   40.6   0.00   23.4    3.0   12.5   16.2    3.0   12.5   16.2   86.4  353.6
 1990 037    58    0.0   10.9   11.8   20.2   40.4   0.00   23.6    3.4   12.8   16.5    3.4   12.8   16.5   86.4  353.6
 1990 038    59    0.0   10.9   11.8   17.2   34.4   0.12   23.6    9.0   15.8   18.5    9.0   15.8   18.5   86.4  353.6
 1990 039    60    0.0   10.9   11.8   13.9   27.8   0.30   22.0   12.4   16.9   18.6   12.4   16.9   18.6   86.4  353.6
 1990 040    61    0.0   11.0   11.9   16.7   33.4   0.16   22.4    8.6   15.0   17.6    8.6   15.0   17.6   86.4  353.6
 1990 041    62    0.0   11.0   11.9   20.5   41.0   0.00   26.4    5.6   15.3   19.2    5.6   15.3   19.2   86.4  353.6
 1990 042    63    0.0   11.0   11.9   20.9   41.8   0.00   28.0    6.4   16.5   20.5    6.4   16.5   20.5   86.4  353.6
 1990 043    64    0.0   11.0   11.9   20.7   41.4   0.00   28.2    7.0   16.9   20.9    7.0   16.9   20.9   86.4  353.6
 1990 044    65    0.0   11.0   11.9   16.3   32.6   0.20   24.2   11.0   17.2   19.6   11.0   17.2   19.6   86.4  353.6
 1990 045    66    0.0   11.1   12.0   11.0   22.0   0.46   18.4   12.4   15.2   16.3   12.4   15.2   16.3   86.4  353.7
 1990 046    67    0.0   11.1   12.0   13.4   26.8   0.35   17.8    9.0   13.1   14.8    9.0   13.1   14.8   86.4  353.7
 1990 047    68    0.0   11.1   12.0   18.4   36.8   0.12   20.4    3.6   11.4   14.6    3.6   11.4   14.6   86.4  353.7
 1990 048    69    0.0   11.1   12.0   19.8   39.6   0.05   22.4    3.0   12.1   15.7    3.0   12.1   15.7   86.4  353.7
 1990 049    70    0.0   11.2   12.1   20.3   40.6   0.04   23.0    2.6   12.1   16.0    2.6   12.1   16.0   86.4  353.7
 1990 050    71    0.0   11.2   12.1   20.9   41.8   0.02   24.0    2.4   12.5   16.6    2.4   12.5   16.6   86.4  353.7
 1990 051    72    0.0   11.2   12.1   19.3   38.6   0.10   22.4    4.0   12.6   16.1    4.0   12.6   16.1   86.4  353.7
 1990 052    73    0.0   11.2   12.1   20.8   41.6   0.03   25.0    3.6   13.6   17.7    3.6   13.6   17.7   86.4  353.7
 1990 053    74    0.0   11.3   12.1   20.4   40.8   0.06   25.4    4.8   14.5   18.4    4.8   14.5   18.4   86.4  353.7
 1990 054    75    0.0   11.3   12.2   22.2   44.4   0.00   29.0    4.6   16.0   20.7    4.6   16.0   20.7   86.4  353.7
 1990 055    76    0.0   11.3   12.2   21.1   42.2   0.04   29.2    7.2   17.5   21.8    7.2   17.5   21.8   86.4  353.7
 1990 056    77    0.0   11.3   12.2   19.6   39.2   0.11   28.6    9.6   18.5   22.2    9.6   18.5   22.2   86.4  353.7
 1990 057    78    0.0   11.4   12.2   18.9   37.8   0.15   27.2    9.6   17.9   21.3    9.6   17.9   21.3   86.4  353.7
 1990 058    79    0.0   11.4   12.3   18.0   36.0   0.20   27.0   11.0   18.5   21.6   11.0   18.5   21.6   86.4  353.7
